RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19155,0.37889191682938869,33259,2056
19153,0.47960772072849536,222923,12162
19057,0.3657197115507994,13445,806
19157,0.4543341980112408,7973,434
19193,0.3794310764545569,34733,4389
19129,0.37527301608312926,5400,270
19169,0.4912116313312808,45100,2605
19061,0.5069724902631768,47689,1645
19189,0.41520185435580456,3738,561
19033,0.4747467608951708,18597,1556
19069,0.4096325719960278,3773,352
19163,0.39644854084871897,63602,4961
19181,0.441087319783935,21472,1229
19013,0.4504831286006035,53943,5173
19113,0.5044639312589874,106441,7924
19111,0.36117301007219895,10718,1438
19127,0.46943026238918947,16064,2417
19047,0.39815695600475628,5406,1291
19123,0.3245530663045938,6415,756
19103,0.5613206298795819,80252,4586
19099,0.43824122630092779,14799,1497
19101,0.3644711669855152,5983,685
19087,0.40438007417059237,6571,1498
19049,0.48204980043444298,42796,2253
19015,0.4916520545856522,12201,697
19145,0.40385251869994046,5612,489
19109,0.41861878080064809,5672,529
19167,0.32282312437239998,9635,1617
19045,0.3905748562320963,16779,1355
19023,0.4594501004224669,6230,404
19131,0.3823918382769696,3865,183
19187,0.4324587789661319,14233,1294
19031,0.46561443066516347,8027,646
19017,0.464567871678238,10628,1015
19029,0.4574633842318479,5528,344
19125,0.3954831143054762,11069,2082
19089,0.39124262939506446,3146,437
19165,0.464903090623363,5112,213
19173,0.36399281163208627,2162,66
19007,0.3582810236600676,4051,401
19115,0.38078840054372456,3202,1000
19197,0.4461073077535424,4716,888
19021,0.46508664627930687,6209,2916
19121,0.4078222548659567,6356,307
19067,0.4069812044495589,5890,476
19041,0.41083916083916086,6219,361
19191,0.49097093692161478,8964,851
19137,0.4233135020671574,3680,518
19085,0.37404797494483596,4907,348
19001,0.3933165548098434,2509,304
19027,0.48623853211009179,8824,981
19179,0.36523778203551718,10520,2252
19081,0.387206020696143,3683,433
19183,0.43664921465968589,8928,663
19119,0.28745214802211829,3219,160
19009,0.47034206695778749,2437,148
19159,0.40907233346955459,1964,38
19019,0.40722550177095637,8042,581
19059,0.4599026538416966,7686,251
19083,0.4352962127508014,6445,888
19025,0.4660736450144808,4191,315
19091,0.38711027411592388,3355,345
19117,0.3536046511627907,2670,371
19107,0.3570173726332227,3373,285
19161,0.4143606624832836,3698,330
19141,0.4015123972951356,5031,491
19079,0.4850741217085223,6511,655
19139,0.4449184324020251,15251,3731
19065,0.4243765903307888,7796,543
19005,0.3772192591510192,4953,210
19037,0.42235816642922988,4379,661
19149,0.400285975294912,8035,2043
19151,0.40716120259857987,2490,205
19135,0.36200856364344105,2488,302
19177,0.3147359454855196,2024,193
19105,0.46661186596392825,8670,980
19097,0.4179741756263182,7766,359
19043,0.386973616730298,6234,557
19175,0.3901642022710563,4529,247
19075,0.48373119686069329,5465,452
19063,0.3981320590790617,3360,306
19093,0.37565597667638486,2185,392
19195,0.3979135618479881,2766,171
19147,0.4009678145397254,3350,213
19003,0.4117157134925042,1429,54
19073,0.44216921692169217,3434,496
19171,0.4595941616233535,6969,777
19039,0.3973390101117616,3047,686
19077,0.45308260828889515,4533,310
19011,0.44090465977773449,10440,867
19053,0.30432020330368489,2172,223
19095,0.481586752347998,7151,643
19133,0.41601857225769009,3375,209
19055,0.418141202751161,6294,819
19035,0.42251891410769917,4399,348
19071,0.3593390804597701,2307,194
19051,0.27755555555555558,2348,150
19143,0.364551863041289,1974,198
19185,0.31609998447446049,1873,163
,,37,6
