ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,27490,26566,924
19057,13079,12540,539
19013,48671,44149,4522
19083,5333,4190,1143
19099,8713,8218,495
19147,2659,2577,82
19067,4998,4285,713
19109,4675,4299,376
19063,3389,3092,297
19153,136675,129928,6747
19127,9572,7063,2509
19081,2755,2203,552
19139,11978,7880,4098
19193,31779,29022,2757
19103,58402,55644,2758
19091,3523,3208,315
19101,5802,5048,754
19167,9382,7037,2345
19149,7859,5081,2778
19047,5663,4205,1458
19049,23063,21596,1467
19179,8350,7914,436
19163,54470,50545,3925
19171,5680,4740,940
19143,1273,1153,120
19055,3721,3122,599
19017,9589,8637,952
19065,8334,7525,809
19187,12353,11524,829
19021,7749,4589,3160
19035,3579,3409,170
19197,4977,3496,1481
19125,11725,8048,3677
19033,18338,17204,1134
19079,4817,4492,325
19155,34497,30204,4293
19037,2357,2059,298
19029,7905,7677,228
19117,2471,2165,306
19039,4252,3003,1249
19095,3742,3275,467
19087,5102,4525,577
19041,6608,6558,50
19113,77640,70934,6706
19031,4637,4436,201
19181,10250,9776,474
19141,4212,3987,225
19135,2463,2264,199
19071,1310,1237,73
19157,5444,5306,138
19137,2622,2123,499
19061,41340,40235,1105
19145,5071,4444,627
19043,5365,4794,571
19189,3011,2624,387
19015,7399,7120,279
19027,7470,6702,768
19105,4057,3452,605
19115,3899,2406,1493
19133,1582,1477,105
19011,5324,4967,357
19183,4764,4384,380
19019,4578,4388,190
19111,9176,8024,1152
19001,1932,1678,254
19085,2566,2379,187
19077,2989,2813,176
19191,5572,5058,514
19023,3017,2952,65
19121,4564,4486,78
19075,3532,3332,200
19131,3609,3609,0
19045,11015,9972,1043
19159,1580,1580,0
19003,1365,1365,0
19009,1686,1590,96
19195,1251,1251,0
19093,1627,1266,361
19097,5653,5531,122
19073,3069,2734,335
19025,3357,3257,100
19059,5262,5147,115
,4255,4255,0
19175,3147,3033,114
19005,4647,4602,45
19165,4021,3983,38
19151,1455,1325,130
19069,2963,2788,175
19053,2286,2181,105
19161,2605,2605,0
19185,2435,2103,332
19051,4026,2448,1578
19123,4960,4711,249
19007,3645,3271,374
19119,2167,2142,25
19129,3684,3599,85
19177,1153,1084,69
19173,1821,1821,0
19089,1578,1491,87
19107,1278,1178,100
