RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,266594,251717,14877
19059,8557,8243,314
19161,4327,3938,389
19027,10576,9479,1097
19013,65590,59843,5747
19017,12800,11677,1123
19019,9639,8960,679
19103,91370,86052,5318
19195,3227,3028,199
19033,22355,20490,1865
19081,4471,3970,501
19169,51770,48679,3091
19139,21384,17058,4326
19165,5734,5471,263
19009,2784,2619,165
19191,10650,9720,930
19065,9032,8402,630
19061,52928,50992,1936
19147,3828,3574,254
19183,10453,9688,765
19003,1621,1548,73
19173,2415,2330,85
19041,7116,6701,415
19125,14530,12246,2284
19123,7967,7100,867
19157,9139,8635,504
19099,18022,16326,1696
19073,4329,3779,550
19113,126017,116845,9172
19049,50746,48032,2714
19193,44081,39327,4754
19171,8538,7633,905
19109,6747,6145,602
19187,17198,15679,1519
19011,12415,11447,968
19141,5925,5346,579
19045,20357,18769,1588
19067,7102,6483,619
19189,4648,4048,600
19131,4398,4164,234
19029,6366,5964,402
19135,3039,2676,363
19127,20849,17913,2936
19063,3930,3597,333
19159,2156,2110,46
19163,76720,70987,5733
19115,4731,3613,1118
19149,10977,8833,2144
19093,2820,2378,442
19015,14328,13479,849
19075,6479,5916,563
19091,4056,3655,401
19151,2992,2739,253
19055,7733,6840,893
19101,7408,6653,755
19005,5627,5385,242
19181,25359,23798,1561
19025,4887,4491,396
19083,7925,6909,1016
19069,4533,4122,411
19023,7220,6728,492
19133,3821,3547,274
19085,5655,5272,383
19137,4581,4032,549
19111,13808,12037,1771
19037,5483,4717,766
19197,6124,5138,986
19179,14212,11703,2509
19121,7361,6968,393
19095,8657,7892,765
19143,2342,2099,243
19051,2778,2591,187
19047,7398,6018,1380
19155,40126,37851,2275
19145,6647,6095,552
19043,7161,6562,599
19057,16304,15299,1005
19007,4831,4369,462
19107,3976,3649,327
19077,5338,4951,387
19129,6310,5996,314
19021,10376,7101,3275
19087,8999,7256,1743
19053,2639,2379,260
19097,8814,8391,423
19079,7836,7109,727
19035,5113,4705,408
19001,3026,2684,342
19175,5254,4947,307
19167,12195,10411,1784
19089,3950,3431,519
19119,3592,3373,219
19185,2272,2072,200
19039,4218,3472,746
19105,10456,9336,1120
19117,3299,2864,435
19031,9490,8777,713
19071,2672,2470,202
19177,2434,2180,254
,35,31,4
