EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,203361,36061,25190,357
Linn,88950,15109,9903,173
Scott,64478,12281,7472,100
Johnson,60424,10071,7462,41
Black Hawk,53689,11504,8389,156
Woodbury,46377,11070,8749,142
Dubuque,45241,9698,7279,101
Story,42814,7175,5096,25
Dallas,39820,6834,4774,60
Pottawattamie,36360,7059,4450,82
Warren,20477,3104,1899,17
Cerro Gordo,18349,3859,2295,52
Webster,17415,3877,2633,42
Clinton,16357,3583,2270,48
Muscatine,16084,3192,2014,74
Des Moines,16040,3114,2151,23
Marshall,15858,3672,2767,51
Jasper,13055,2395,1644,47
Wapello,12446,2755,1932,72
Sioux,12286,3926,3055,29
Buena Vista,12070,3236,2595,14
Lee,11751,2374,1473,21
Marion,11252,2202,1486,25
Plymouth,10465,3002,2195,45
Boone,9859,1532,1004,12
Benton,9666,1806,1163,25
Carroll,8957,2090,1552,26
Bremer,8883,2068,1319,14
Pending Investigation,8772,734,156,0
Washington,8731,1553,943,16
Henry,8195,2017,1437,8
Dickinson,8032,1504,1020,12
Jones,7784,2416,1612,19
Mahaska,7618,1383,964,29
Winneshiek,7188,1118,671,14
Buchanan,7148,1271,790,10
Crawford,7019,1866,1540,16
Fayette,6782,1140,688,12
Cedar,6773,1190,741,15
Jackson,6709,1555,1141,17
Tama,6491,1591,1216,42
Poweshiek,6389,1063,751,14
Wright,6373,1358,956,8
Hardin,6316,1263,767,12
Clay,6278,1318,800,7
Iowa,6183,1031,665,14
Delaware,6167,1504,1112,22
Mills,6132,1134,733,10
Floyd,5923,1160,652,24
Kossuth,5795,1247,670,9
Hamilton,5698,1235,655,15
Jefferson,5517,797,428,6
Madison,5387,779,499,5
Clayton,5231,1210,766,11
Butler,5229,1105,682,12
Union,5176,899,436,8
O'Brien,5103,1404,1000,32
Harrison,4863,1171,838,33
Page,4722,1235,915,5
Cass,4697,877,593,26
Winnebago,4684,989,661,25
Allamakee,4491,940,538,13
Cherokee,4436,1015,582,4
Appanoose,4436,849,511,14
Hancock,4428,959,587,8
Calhoun,4338,1113,730,7
Grundy,4311,906,556,14
Guthrie,4281,811,543,15
Mitchell,4247,866,497,11
Louisa,4202,924,662,22
Sac,4174,937,590,9
Chickasaw,4067,936,746,6
Shelby,3923,826,563,15
Franklin,3840,779,505,21
Humboldt,3665,837,515,6
Emmet,3658,804,543,26
Palo Alto,3502,703,440,5
Lyon,3456,1097,724,10
Clarke,3382,528,403,4
Greene,3226,555,352,2
Howard,3221,598,347,9
Montgomery,3129,555,301,11
Keokuk,3052,684,373,10
Monona,2858,476,319,9
Pocahontas,2794,616,383,4
Adair,2724,485,298,11
Worth,2707,405,233,1
Lucas,2648,370,263,6
Decatur,2485,358,249,1
Ida,2408,581,345,16
Davis,2322,509,316,11
Monroe,2279,475,327,13
Van Buren,2039,408,267,5
Fremont,2026,404,280,3
Taylor,1981,483,340,3
Osceola,1891,565,395,2
Audubon,1875,315,235,3
Ringgold,1787,286,128,2
Wayne,1680,320,241,7
Adams,1161,196,122,2
