RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19019,6663,6232,431
19013,41629,37678,3951
19081,3155,2847,308
19153,138314,130662,7652
19147,2803,2665,138
19191,6967,6406,561
19169,27671,26273,1398
19109,4913,4510,403
19127,11647,9513,2134
19139,13100,9966,3134
19193,27675,24790,2885
19103,56435,52961,3474
19091,3164,2876,288
19101,4973,4463,510
19123,5031,4489,542
19083,5579,4900,679
19045,12422,11467,955
19149,8105,6277,1828
19161,3220,2989,231
19049,26338,24802,1536
19179,9194,7323,1871
19163,47589,44230,3359
19121,4358,4177,181
19033,14573,13532,1041
19171,5613,4928,685
19141,4450,4056,394
19047,5078,3936,1142
19055,5226,4568,658
19043,5665,5212,453
19187,11207,10352,855
19021,7090,4519,2571
19093,2002,1735,267
19197,4377,3646,731
19125,9628,7868,1760
19035,3774,3490,284
19025,3394,3198,196
19037,3923,3393,530
19009,2058,1953,105
19185,1675,1548,127
19039,2880,2292,588
19095,5297,4814,483
19087,4932,4540,392
19113,73485,67066,6419
19155,24545,22858,1687
19041,4875,4650,225
19137,3227,2802,425
19189,3244,2800,444
19071,1859,1712,147
19053,1952,1783,169
19015,8682,8291,391
19061,35599,34569,1030
19145,4547,4176,371
19167,8596,7219,1377
19057,10664,10091,573
19069,3266,3013,253
19023,5026,4760,266
19181,14172,13486,686
19011,7975,7270,705
19073,2954,2616,338
19079,5266,4745,521
19175,3396,3285,111
19173,1888,1852,36
19111,8661,7811,850
19099,10150,9352,798
19031,6138,5656,482
19097,5775,5551,224
19107,2706,2492,214
19183,6661,6186,475
19115,3173,2283,890
19007,3575,3284,291
19165,3807,3667,140
19027,7895,7136,759
19159,1588,1563,25
19117,2134,1854,280
19067,4638,4399,239
19059,6008,5865,143
19003,1175,1147,28
19005,4251,4136,115
19105,6369,5660,709
19157,5426,5164,262
19017,8840,8026,814
19085,3889,3622,267
19151,2064,1900,164
19001,2133,1924,209
19065,6816,6388,428
19075,4375,4094,281
19077,3486,3270,216
19195,2144,2026,118
19133,2787,2655,132
19131,3314,3263,51
19177,1656,1530,126
19143,1687,1551,136
19029,4480,4260,220
19119,2588,2470,118
19129,3882,3683,199
19089,2716,2400,316
19063,2881,2652,229
19135,2097,1873,224
19051,1971,1890,81
,31,25,6
