RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19191,9853,9001,852
19013,59253,54072,5181
19181,22752,21520,1232
19021,9159,6239,2920
19153,236152,223916,12236
19163,68913,63937,4976
19127,18561,16140,2421
19113,114705,106757,7948
19159,2006,1968,38
19075,5929,5476,453
19107,3669,3384,285
19099,16375,14852,1523
19109,6208,5679,529
19147,3566,3353,213
19033,20230,18663,1567
19103,85058,80462,4596
19015,12928,12228,700
19081,4124,3687,437
19049,45198,42931,2267
19193,39250,34857,4393
19003,1495,1441,54
19045,18186,16829,1357
19029,5889,5545,344
19167,11271,9652,1619
19051,2502,2352,150
19011,11325,10457,868
19155,35459,33403,2056
19047,6729,5437,1292
19097,8134,7775,359
19069,4129,3775,354
19189,4310,3747,563
19125,13192,11109,2083
19183,9615,8948,667
19187,15598,14299,1299
19025,4514,4199,315
19019,8640,8058,582
19157,8425,7989,436
19089,3584,3147,437
,43,37,6
19137,4205,3687,518
19117,3044,2673,371
19139,19052,15315,3737
19171,7762,6984,778
19151,2703,2498,205
19141,5532,5039,493
19079,7181,6524,657
19085,5265,4917,348
19169,47816,45198,2618
19185,2038,1875,163
19179,12810,10551,2259
19023,6650,6246,404
19105,9662,8682,980
19173,2231,2164,67
19145,6108,5619,489
19031,8699,8051,648
19027,9818,8835,983
19087,8088,6587,1501
19043,6797,6240,557
19017,11678,10663,1015
19073,3940,3444,496
19091,3713,3368,345
19059,7950,7698,252
19055,7123,6304,819
19143,2173,1975,198
19129,5689,5419,270
19077,4851,4540,311
19161,4037,3706,331
19057,14326,13519,807
19061,49417,47765,1652
19123,7196,6440,756
19119,3379,3219,160
19065,8355,7810,545
19005,5163,4953,210
19165,5335,5119,216
19071,2505,2311,194
19195,2941,2770,171
19009,2590,2442,148
19093,2586,2194,392
19133,3586,3377,209
19083,7352,6464,888
19149,10098,8052,2046
19041,6589,6227,362
19007,4458,4056,402
19177,2219,2026,193
19039,3748,3061,687
19121,6692,6384,308
19135,2799,2496,303
19095,7805,7162,643
19101,6748,6060,688
19035,4748,4400,348
19175,4792,4545,247
19067,6386,5909,477
19037,5047,4386,661
19111,12209,10765,1444
19115,4214,3214,1000
19131,4050,3866,184
19063,3674,3368,306
19053,2405,2182,223
19001,2817,2513,304
19197,5612,4723,889
