RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,532875,25054,246576,14669
19161,8364,282,3854,374
19027,20304,591,9319,1075
19013,128161,5140,58659,5703
19017,24875,813,11474,1114
19019,18822,669,8743,667
19103,180653,5428,85019,5187
19195,6347,198,2976,197
19033,43750,1745,20080,1845
19081,8544,262,3895,492
19169,103068,4036,48008,3016
19139,39196,1565,16667,4297
19165,11362,326,5391,254
19009,5482,144,2587,164
19191,20647,538,9595,919
19065,17804,647,8264,629
19061,105359,2891,50277,1914
19147,7520,231,3521,247
19183,20569,748,9532,757
19003,3239,126,1520,73
19173,4812,146,2291,84
19041,14094,506,6589,410
19125,27315,1152,11953,2257
19123,15381,665,6931,854
19157,18128,635,8507,479
19099,35151,1419,16022,1688
19073,8280,323,3708,541
19113,247160,8913,114584,9079
19049,101061,4210,47095,2661
19193,85888,4542,38305,4736
19171,16503,724,7440,899
19109,13142,432,6058,594
19187,33619,1415,15346,1512
19011,24230,909,11183,955
19141,11436,340,5268,560
19045,40019,1634,18416,1553
19067,13710,524,6286,614
19189,8851,291,3983,594
19131,8718,293,4097,231
19029,12528,402,5864,398
19135,5832,185,2643,361
19127,39614,1678,17517,2902
19063,7840,428,3542,328
19159,4310,124,2070,46
19163,151329,6585,69555,5634
19115,8471,348,3514,1095
19149,20178,720,8657,2144
19059,17114,587,8114,299
19093,5295,194,2333,435
19015,28320,1000,13242,836
19075,12594,578,5731,554
19091,7813,290,3561,401
19151,5787,174,2685,243
19055,14744,545,6654,891
19101,14468,649,6536,747
19005,11248,452,5279,238
19181,50330,2205,23294,1537
19025,9497,285,4417,378
19083,15080,551,6761,1007
19069,8773,342,4016,399
19023,14180,478,6609,484
19133,7506,254,3492,268
19085,11292,588,5161,382
19137,8854,439,3933,549
19111,26231,1085,11703,1740
19037,10374,340,4638,758
19197,11419,385,5032,970
19179,26476,1158,11415,2488
19121,14611,579,6826,380
19095,16693,595,7674,750
19143,4481,112,2065,239
19051,5474,207,2543,181
19047,13663,567,5865,1366
19145,13102,620,5966,550
19043,13915,361,6478,598
19057,32399,1630,14900,969
19007,9438,413,4286,453
19107,7745,258,3582,323
19077,10507,410,4857,383
19129,12377,561,5756,304
19021,17819,978,6891,3059
19087,16552,719,7070,1693
19053,5143,229,2328,258
19097,17377,527,8217,416
19155,79759,4037,36742,2238
19079,15199,515,6981,722
19035,10007,391,4606,404
19001,5853,250,2632,339
19175,10469,446,4861,301
19167,23018,814,10213,1778
19089,7523,286,3365,507
19119,7044,154,3339,212
19185,4429,155,2040,194
19039,7888,381,3382,743
19117,6267,222,2808,429
19031,18446,579,8582,703
19071,5203,189,2407,200
19177,4691,184,2134,239
19105,20015,617,9146,1106
,76,8,32,4
