Age Group Public,RECIP_ID
0 - 11,5
12 - 15,70055
16 - 17,52695
18 - 19,63229
20 - 29,325801
30 - 39,364834
40 - 49,378252
50 - 59,464616
60 - 64,289422
65+,912413
,230
