County,Series Initiated,Series Completed
Polk,41094,17894
Johnson,16136,12597
Linn,14259,8250
Scott,11770,4445
Black Hawk,9979,3984
Pottawattamie,7161,4585
Dubuque,6682,4458
Story,5110,3435
Woodbury,4362,3369
Cerro Gordo,4245,2288
Dallas,4114,1827
Webster,2854,1202
Jasper,2469,1354
Warren,2280,1247
Lee,2193,969
Des Moines,2057,1390
Clay,1743,1081
Clinton,1729,1000
Sioux,1718,879
Bremer,1715,1629
Wapello,1628,984
Marion,1545,865
Boone,1430,943
Marshall,1275,833
Kossuth,1273,293
Carroll,1262,1258
Plymouth,1195,349
Jackson,1094,394
Muscatine,1073,845
Jones,1051,349
Hardin,948,489
Benton,922,574
Cedar,891,459
Mills,873,437
Dickinson,835,508
Tama,828,275
Clayton,823,442
Harrison,805,159
Fayette,796,401
Shelby,788,394
Winneshiek,769,609
Buena Vista,764,494
Henry,749,447
Butler,748,148
O'Brien,717,617
Page,708,588
Crawford,704,389
Jefferson,703,418
Delaware,683,485
Poweshiek,661,274
Madison,652,244
Franklin,633,166
Floyd,628,247
Winnebago,622,150
Grundy,615,287
.,613,3219
Sac,613,210
Calhoun,609,313
Allamakee,572,251
Buchanan,568,490
Guthrie,565,230
Iowa,553,327
Mahaska,549,274
Hamilton,543,446
Wayne,540,210
Washington,537,211
Monroe,524,145
Cass,520,497
Wright,509,401
Ringgold,507,170
Union,494,380
Montgomery,491,303
Taylor,491,95
Humboldt,490,260
Mitchell,488,220
Appanoose,477,230
Audubon,475,186
Monona,448,195
Worth,447,57
Ida,438,148
Decatur,434,157
Palo Alto,424,388
Lyon,424,175
Louisa,410,92
Fremont,389,92
Emmet,383,228
Howard,380,180
Osceola,360,117
Clarke,360,200
Cherokee,348,484
Lucas,345,129
Chickasaw,335,191
Adams,310,103
Davis,306,144
Pocahontas,287,118
Greene,266,232
Keokuk,227,198
Adair,220,113
Van Buren,212,82
Hancock,149,302
