County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,583854,58406,48325,558,498,60
Linn,250851,20686,18480,315,284,31
Black Hawk,186409,16297,14215,293,273,20
Johnson,181676,13884,12517,75,70,5
Scott,179446,18348,16265,211,195,16
Dubuque,162037,13583,11754,195,181,14
Story,140625,10273,9092,45,39,6
Woodbury,124527,15001,13182,214,198,16
Dallas,110538,11415,9434,92,81,11
Pottawattamie,103787,10802,9314,146,130,16
Marshall,71155,4978,4392,73,65,8
Cerro Gordo,67304,5347,4796,83,70,13
Warren,64404,5573,4778,76,71,5
Webster,60865,5207,4718,88,74,14
Clinton,53643,5447,4692,84,74,10
Des Moines,48048,4591,4030,61,53,8
Lee,47065,3763,3378,53,40,13
Muscatine,46513,4542,3945,93,84,9
Jasper,43884,4185,3425,67,62,5
Wapello,40085,4359,3612,108,104,4
Buena Vista,39878,4748,3986,37,34,3
Boone,38611,2607,2287,30,28,2
Sioux,37497,4957,4587,69,66,3
Washington,35585,2544,2266,47,43,4
Marion,35333,3597,3185,70,60,10
Poweshiek,35277,1548,1411,30,28,2
Plymouth,33380,3959,3514,78,70,8
Bremer,32727,2812,2510,55,47,8
Carroll,31798,2864,2561,49,41,8
Henry,31785,2937,2696,37,36,1
Benton,31751,2548,2163,54,44,10
Winneshiek,31345,1897,1662,28,24,4
Fayette,30217,1861,1685,35,32,3
Hardin,29682,1814,1590,39,33,6
Tama,28570,2145,1889,65,63,2
Mahaska,26496,2253,2019,46,41,5
Cedar,26146,1789,1581,23,21,2
Buchanan,26010,1863,1652,29,25,4
Iowa,25555,1454,1313,23,21,2
Clay,25494,1935,1753,25,20,5
Butler,25325,1675,1517,31,28,3
Crawford,23711,2752,2378,35,31,4
Delaware,23415,1894,1770,40,35,5
Jones,22386,2941,2749,55,51,4
Dickinson,22318,2184,1889,40,34,6
Jackson,22307,2216,1990,38,35,3
Floyd,22288,1633,1401,41,31,10
O'Brien,22203,1963,1687,58,54,4
Kossuth,22078,2088,1842,55,48,7
Clayton,21422,1682,1524,54,46,8
Hamilton,20906,1920,1627,42,41,1
Mills,19161,1635,1407,20,17,3
Wright,18767,1801,1673,31,26,5
Hancock,18628,1474,1321,30,25,5
Allamakee,18345,1469,1300,48,39,9
Cass,18211,1358,1153,51,46,5
Harrison,18181,1796,1560,69,65,4
Page,17786,1838,1711,19,18,1
Jefferson,17719,1388,1231,34,28,6
Cherokee,17672,1548,1379,36,29,7
Franklin,17523,1186,1049,19,18,1
Madison,17388,1553,1323,18,14,4
Sac,17006,1252,1134,18,18,0
Grundy,16753,1394,1228,30,25,5
Calhoun,16100,1343,1243,11,11,0
Palo Alto,15781,1055,937,21,19,2
Monona,15754,816,717,27,26,1
Appanoose,15602,1392,1125,47,43,4
Guthrie,15490,1168,1040,28,23,5
Mitchell,15367,1312,1153,40,38,2
Chickasaw,15314,1259,1148,15,13,2
Winnebago,15204,1393,1227,31,26,5
Louisa,15091,1284,1150,43,36,7
Union,15004,1262,1129,31,26,5
Howard,14566,1027,911,21,17,4
Emmet,14363,1218,1080,40,38,2
Shelby,14295,1223,1083,33,30,3
Humboldt,13590,1180,1073,25,22,3
Keokuk,13471,989,858,29,29,0
Greene,13101,776,705,10,10,0
Lyon,13079,1460,1376,41,37,4
Pending Investigation,12847,991,836,0,0,0
Montgomery,12452,1043,901,36,34,2
Clarke,11741,1005,858,20,20,0
Pocahontas,11470,854,780,19,19,0
Worth,10958,703,627,7,6,1
Adair,10900,920,695,29,22,7
Ida,10395,914,761,32,30,2
Audubon,10308,489,429,9,8,1
Davis,9382,831,709,23,22,1
Decatur,8901,583,524,9,9,0
Ringgold,8666,524,468,20,17,3
Monroe,8463,934,828,28,21,7
Lucas,8095,745,665,21,17,4
Taylor,7356,666,617,12,10,2
Van Buren,7351,559,509,18,15,3
Osceola,7035,708,644,15,13,2
Fremont,6444,590,536,9,7,2
Wayne,5202,495,408,21,17,4
Adams,4693,325,310,4,4,0
