County,Series Initiated,Series Completed
Polk,31458,14304
Johnson,13050,11040
Linn,11904,6713
Black Hawk,8284,3198
Scott,7731,3726
Pottawattamie,4971,4034
Dubuque,4962,3815
Story,4671,2893
Woodbury,4212,3123
Dallas,3858,1449
Cerro Gordo,3465,1858
Webster,2168,1051
Jasper,2096,924
Lee,1945,759
Clay,1817,657
Bremer,1703,1265
Warren,1693,939
Wapello,1502,688
Carroll,1488,842
Sioux,1404,745
Boone,1273,682
Clinton,1231,870
Des Moines,992,1232
Mills,895,289
Marion,860,853
Marshall,828,585
Plymouth,793,347
Hardin,736,437
O'Brien,722,479
Delaware,712,427
Muscatine,701,688
Harrison,698,159
Jackson,669,343
Benton,660,501
Tama,627,168
Cedar,617,296
Winneshiek,616,574
Calhoun,603,283
Dickinson,580,477
Clayton,559,304
Buena Vista,550,424
Shelby,549,393
Iowa,540,323
Page,534,531
Fayette,530,363
Franklin,527,164
Allamakee,518,182
Crawford,496,318
Butler,490,143
Mahaska,483,264
Henry,483,440
Monroe,469,100
Washington,463,164
Ida,457,128
Jones,448,303
Wayne,448,201
Kossuth,441,224
Wright,427,355
Winnebago,427,139
Madison,411,244
Floyd,403,237
Grundy,400,261
Humboldt,394,242
Hamilton,393,366
Ringgold,391,168
Jefferson,381,352
Fremont,370,92
Cherokee,359,465
Buchanan,356,461
Worth,353,49
Audubon,350,126
Lyon,343,163
Mitchell,335,200
Clarke,328,181
Monona,326,152
Montgomery,314,290
Howard,314,176
Sac,303,166
Guthrie,298,215
Union,296,341
Appanoose,295,182
Taylor,285,49
Greene,282,149
Poweshiek,255,226
Emmet,246,226
Cass,245,493
Palo Alto,234,363
Osceola,218,117
Davis,207,121
Adams,188,83
Lucas,184,100
Decatur,180,136
Keokuk,166,154
Chickasaw,165,177
Louisa,164,70
Adair,149,113
Van Buren,146,69
Hancock,99,276
Pocahontas,79,118
.,0,0
