county_fips,metric_value
19017,0.625
19117,0.48
19163,0.619
19063,0.515
19061,0.68
19165,0.623
19003,0.5589999999999999
19155,0.59
19075,0.647
19137,0.585
19153,0.7
19097,0.5579999999999999
19183,0.608
19001,0.514
19119,0.445
19083,0.57
19189,0.546
19057,0.529
19047,0.5710000000000001
19005,0.561
19169,0.629
19035,0.56
19051,0.40700000000000005
19019,0.578
19089,0.5529999999999999
19091,0.521
19039,0.5770000000000001
19179,0.512
19067,0.562
19125,0.5529999999999999
19159,0.5379999999999999
19115,0.5379999999999999
19073,0.611
19027,0.665
19049,0.705
19093,0.523
19107,0.491
19195,0.537
19079,0.655
19177,0.43799999999999997
19015,0.6609999999999999
19139,0.632
19021,0.705
19037,0.575
19011,0.606
19013,0.621
19113,0.6920000000000001
19127,0.677
19191,0.627
19141,0.54
19111,0.527
19055,0.565
19085,0.544
19145,0.534
19103,0.741
19187,0.595
19173,0.499
19087,0.5579999999999999
19133,0.568
19143,0.479
19029,0.611
19131,0.522
19023,0.608
19121,0.5670000000000001
19197,0.606
19129,0.569
19053,0.426
19181,0.623
19101,0.479
19167,0.45299999999999998
19147,0.535
19149,0.555
19081,0.515
19007,0.484
19071,0.535
19045,0.5670000000000001
19157,0.598
19151,0.556
19123,0.46
19059,0.599
19109,0.552
19033,0.653
19095,0.664
19135,0.48100000000000006
19041,0.551
19105,0.612
19025,0.622
19077,0.613
19065,0.5670000000000001
19043,0.507
19171,0.657
19069,0.56
19161,0.5529999999999999
19185,0.44799999999999998
19193,0.5870000000000001
19099,0.604
19031,0.622
19009,0.622
19175,0.531
,0.64
