County,Series Initiated,Series Completed
Polk,42660,51105
Linn,25213,22628
Scott,18116,12459
Black Hawk,17161,13303
Johnson,17050,26925
Dubuque,12600,11958
Woodbury,11022,8693
Pottawattamie,9306,10670
Story,8700,8567
Cerro Gordo,7273,5275
Dallas,7155,6015
Des Moines,5372,3345
Clinton,4731,2041
Warren,4400,2803
Webster,4206,3126
Muscatine,3679,1314
Marshall,3494,1469
Bremer,3486,3010
Wapello,3448,1969
Marion,3409,1704
Lee,3406,2355
Plymouth,3079,874
Jackson,2991,934
Jasper,2910,3417
Sioux,2904,2108
Boone,2632,2141
Tama,2562,873
Fayette,2536,911
Dickinson,2535,1028
Washington,2515,574
Poweshiek,2509,738
Clayton,2484,854
Benton,2475,1157
Clay,2407,2320
Mahaska,2340,737
Buchanan,2325,773
Winneshiek,2320,1052
Page,2310,1050
Buena Vista,2290,896
Kossuth,2178,692
Cedar,2160,874
Henry,2133,896
Madison,2124,652
Floyd,2114,716
Iowa,1985,829
Hamilton,1969,746
Crawford,1937,768
Jones,1920,721
Cass,1912,715
Carroll,1891,2355
Jefferson,1808,768
Allamakee,1748,660
Butler,1671,745
Shelby,1609,850
O'Brien,1599,1173
Hardin,1573,1153
Appanoose,1541,536
Union,1504,619
Grundy,1473,704
Cherokee,1456,784
Louisa,1450,234
Mills,1352,1032
Mitchell,1332,426
Hancock,1321,372
Franklin,1302,444
Sac,1280,699
Guthrie,1280,618
Delaware,1279,912
Calhoun,1255,866
Davis,1241,328
Chickasaw,1207,336
Emmet,1181,466
Palo Alto,1180,556
Wright,1160,768
Harrison,1075,774
Lucas,1064,280
Lyon,1061,437
Winnebago,1006,550
Montgomery,969,562
Taylor,938,357
Greene,847,609
Adair,831,265
Decatur,828,327
Pocahontas,820,194
Wayne,805,620
Humboldt,790,616
Monona,781,363
Monroe,777,578
Howard,619,455
Clarke,609,511
Adams,599,265
Ida,594,422
Ringgold,573,528
Van Buren,569,208
Worth,565,393
Keokuk,561,320
Fremont,537,428
Osceola,505,333
Audubon,465,582
Out of State,262,3621
