Age Group Public,RECIP_ID
0 - 11,7
12 - 15,84622
16 - 17,57483
18 - 19,67136
20 - 29,339260
30 - 39,376702
40 - 49,389186
50 - 59,475445
60 - 64,294416
65+,920719
