RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19033,15700,14598,1102
19185,1761,1626,135
19067,4987,4718,269
19147,3050,2909,141
19057,11660,11054,606
19083,5980,5272,708
19095,5827,5334,493
19045,13335,12351,984
19059,6783,6622,161
19163,52875,49430,3445
19113,81866,75322,6544
19081,3388,3070,318
19111,9422,8545,877
19137,3452,3017,435
19037,4190,3643,547
19011,8823,8108,715
19139,14289,11137,3152
19169,31950,30182,1768
19013,45759,41725,4034
19187,12173,11301,872
19153,157624,149552,8072
19181,15860,15116,744
19061,39780,38692,1088
19047,5526,4372,1154
19155,26702,25003,1699
19087,5420,4965,455
19103,64705,61050,3655
19031,6726,6236,490
19017,9399,8573,826
19193,32510,29314,3196
19157,6040,5759,281
19127,12660,10499,2161
19115,3477,2582,895
19121,4793,4584,209
19101,5344,4830,514
19171,6140,5447,693
19093,2206,1893,313
19161,3418,3176,242
19105,6886,6167,719
19145,4894,4521,373
19179,10002,8122,1880
19021,7444,4872,2572
19015,9491,9050,441
19079,5622,5081,541
19191,7630,6983,647
19023,5353,5056,297
19097,6335,6099,236
19125,10204,8403,1801
19019,7135,6696,439
19149,8725,6869,1856
19167,9224,7831,1393
19055,5760,5088,672
19003,1241,1212,29
19075,4716,4418,298
19175,3710,3582,128
19189,3531,3078,453
19049,30264,28676,1588
19027,8309,7532,777
19001,2327,2088,239
19009,2198,2087,111
19073,3214,2853,361
19025,3593,3379,214
19077,3779,3560,219
19041,5688,5438,250
19173,1960,1920,40
19099,11064,10221,843
19089,2847,2512,335
19063,3118,2886,232
19085,4203,3931,272
19165,4392,4245,147
19109,5300,4890,410
19065,7163,6720,443
19183,7332,6837,495
19091,3255,2965,290
19123,5432,4872,560
19039,2971,2375,596
19135,2308,2078,230
19141,4668,4274,394
19043,6014,5547,467
19035,4049,3758,291
19177,1868,1741,127
19029,4793,4554,239
19051,2099,2005,94
19117,2342,2045,297
19005,4438,4309,129
19197,4623,3881,742
19151,2191,2024,167
19159,1699,1673,26
19195,2341,2216,125
19053,2062,1884,178
19007,3778,3458,320
19107,2931,2711,220
19069,3377,3110,267
19119,2825,2704,121
19133,2956,2823,133
19071,2026,1879,147
19129,4265,4062,203
19143,1823,1683,140
19131,3501,3402,99
,37,31,6
