County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21603,248432,13330,531401
Linn,7256,119489,8988,253966
Scott,6379,78384,6373,170749
Johnson,5667,88849,4331,187328
Black Hawk,4459,66087,6250,143089
Story,4217,48338,2901,102984
Woodbury,4067,42365,4973,93345
Pottawattamie,3919,43558,4908,96862
Dallas,3206,43276,2537,90915
Dubuque,3075,59015,2250,123158
Cerro Gordo,1870,24466,2001,52878
Des Moines,1745,17640,728,37805
Clinton,1596,16261,1613,35808
Webster,1420,16678,1367,36421
Warren,1186,16664,1049,35397
Muscatine,1052,13560,5011,33304
Marshall,1007,13592,2977,31043
Lee,858,11788,1982,26652
Wapello,794,11896,977,25682
Marion,784,11806,4043,28583
Bremer,778,12070,1286,26202
Jasper,701,13769,1161,29196
Buena Vista,633,6898,3601,18128
Page,617,6621,850,14739
Jefferson,588,7253,983,16072
Emmet,554,4565,386,10190
Boone,542,11122,580,23309
Tama,531,8092,984,17788
Carroll,525,9513,1135,20863
Sioux,520,9843,2700,22914
Washington,512,7108,554,15292
Winneshiek,508,8018,1063,17576
Henry,493,7163,1958,16829
Mills,492,5787,152,12247
Dickinson,488,7490,260,15728
Mahaska,487,7299,576,15710
Clay,486,8072,310,16884
Fayette,481,9913,938,21257
Poweshiek,467,9022,440,18858
Cass,458,10039,438,21206
Plymouth,422,6956,2983,17357
Benton,351,7428,465,15680
Crawford,349,5993,1590,13948
Kossuth,335,5844,502,12562
Union,333,4805,320,10168
Jackson,333,7928,263,16435
Grundy,328,4492,428,9752
Buchanan,312,6140,343,12928
Montgomery,306,3174,584,7260
Allamakee,292,5523,119,11464
Wright,282,4772,1731,11539
Madison,280,6804,162,14127
Appanoose,273,4143,483,9134
Floyd,267,6243,1105,13875
Shelby,264,5678,149,11809
O'Brien,257,5207,360,11038
Clarke,257,4151,1365,9940
Jones,247,6100,915,13411
Harrison,246,3268,257,7052
Out of State,244,5211,1,10378
Hardin,242,6078,1347,13804
Winnebago,241,3857,507,8478
Cedar,233,6136,290,12762
Hamilton,230,6839,411,14478
Humboldt,223,3880,406,8538
Cherokee,212,4597,293,9705
Delaware,208,4556,782,10067
Iowa,202,5631,627,12111
Greene,199,4349,512,9482
Clayton,189,5935,669,12772
Guthrie,176,4315,279,9104
Palo Alto,171,3272,161,6903
Davis,171,3175,1667,8241
Decatur,169,2824,123,6036
Monroe,164,3154,306,6810
Wayne,162,2881,389,6422
Lucas,160,3358,424,7389
Mitchell,152,4356,170,9054
Franklin,149,3423,258,7262
Louisa,142,3177,1539,8027
Howard,119,2138,189,4568
Adair,116,2184,334,4771
Lyon,116,2955,79,6116
Chickasaw,110,2763,346,5974
Sac,88,3215,52,6589
Calhoun,88,4084,190,8478
Ida,87,1582,506,3754
Butler,86,3795,177,7875
Taylor,83,2197,24,4530
Ringgold,81,2064,6,4274
Monona,81,2108,218,4499
Van Buren,76,1410,126,3024
Hancock,74,2984,719,6761
Adams,73,1648,10,3569
Pocahontas,66,1879,159,3987
Fremont,65,1600,98,3363
Worth,47,1724,1,3493
Osceola,38,1495,181,3207
Audubon,37,2000,101,4138
Keokuk,32,1596,100,3322
