RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,252385,238928,13457
19161,4130,3786,344
19027,10127,9106,1021
19013,62379,56909,5470
19017,12220,11155,1065
19019,9110,8469,641
19103,88535,83587,4948
19195,3074,2881,193
19033,21228,19478,1750
19081,4272,3805,467
19169,49799,46997,2802
19139,20272,16202,4070
19165,5500,5268,232
19009,2703,2548,155
19191,10300,9401,899
19065,8660,8058,602
19061,50968,49165,1803
19147,3685,3451,234
19183,10015,9296,719
19003,1552,1490,62
19173,2308,2231,77
19041,6827,6420,407
19125,13761,11614,2147
19123,7542,6724,818
19157,8781,8314,467
19099,17206,15605,1601
19073,4135,3614,521
19113,120276,111695,8581
19049,48155,45710,2445
19193,41437,36774,4663
19171,8123,7271,852
19109,6513,5947,566
19187,16283,14872,1411
19011,11794,10883,911
19045,19317,17839,1478
19067,6696,6131,565
19189,4466,3881,585
19131,4218,4003,215
19029,6076,5712,364
19135,2897,2571,326
19127,19762,17068,2694
19063,3784,3470,314
19159,2061,2021,40
19115,4438,3381,1057
19163,72863,67524,5339
19149,10520,8398,2122
19059,8207,7929,278
19093,2699,2286,413
19015,13654,12892,762
19141,5708,5176,532
19075,6102,5606,496
19091,3841,3465,376
19151,2850,2625,225
19055,7353,6507,846
19101,7084,6365,719
19005,5330,5099,231
19181,24021,22636,1385
19025,4659,4308,351
19083,7559,6627,932
19069,4290,3912,378
19023,6907,6459,448
19133,3660,3419,241
19085,5413,5050,363
19137,4344,3814,530
19111,12996,11393,1603
19037,5235,4522,713
19197,5803,4885,918
19179,13491,11076,2415
19121,6984,6638,346
19143,2259,2036,223
19051,2625,2460,165
19047,7016,5691,1325
19145,6340,5801,539
19043,6953,6368,585
19057,15217,14310,907
19007,4615,4188,427
19107,3798,3493,305
19077,5097,4753,344
19129,5915,5628,287
19021,9645,6633,3012
19087,8465,6851,1614
19079,7469,6787,682
19035,4891,4511,380
19001,2918,2593,325
19095,8204,7494,710
19167,11669,9963,1706
19089,3752,3275,477
19119,3460,3282,178
19185,2169,1991,178
19039,3958,3242,716
19155,37722,35548,2174
19117,3173,2758,415
19031,9034,8362,672
19175,5004,4725,279
19071,2559,2361,198
19053,2499,2264,235
19177,2302,2083,219
19097,8388,8010,378
19105,10025,8975,1050
,43,38,5
