Age Group Public,RECIP_ID
0 - 11,7
12 - 15,75425
16 - 17,54421
18 - 19,64660
20 - 29,331278
30 - 39,369666
40 - 49,382589
50 - 59,468930
60 - 64,291398
65+,914753
