Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.17807737397420868,American Indian or Alaska Native
Asian,0.3863455343025951,Asian
Black,0.2082510440654151,Black
Native Hawaiian or Other Pacific Islander,0.3599084096586178,Native Hawaiian or Other Pacific Islander
Other Race,0.5415980097573584,Other Race
White,0.4256264252836577,White
