County,Number of Doses
Polk,717403
Linn,334226
Johnson,243841
Scott,207124
Black Hawk,172685
Dubuque,141050
Story,137134
Dallas,136878
Woodbury,114301
Pottawattamie,107625
Warren,68017
Cerro Gordo,58788
Marshall,53618
Clinton,53486
Muscatine,52540
Jasper,48115
Webster,45236
Des Moines,44494
Marion,37640
Boone,37262
Lee,35578
Wapello,35536
Bremer,33718
Benton,32713
Sioux,29670
Winneshiek,28401
Plymouth,27488
Washington,27389
Carroll,27039
Jones,26907
Buchanan,25288
Buena Vista,24951
Poweshiek,24931
Cedar,24692
Fayette,24224
Jackson,23437
Henry,23108
Dickinson,22636
Iowa,22471
Tama,22325
Mahaska,21174
Hamilton,20619
Hardin,20597
Delaware,20259
Madison,19474
Jefferson,19215
Clay,18985
Floyd,18845
Butler,18838
Crawford,18428
Clayton,17954
Page,17699
Kossuth,17057
Cass,17010
Grundy,16865
Mills,16433
Wright,15569
O'Brien,15312
Allamakee,15142
Shelby,15140
Chickasaw,14324
Union,14208
Harrison,14078
Guthrie,14022
Cherokee,13468
Appanoose,12995
Calhoun,12945
Mitchell,11998
Montgomery,11958
Franklin,11875
Winnebago,11817
Hancock,11548
Sac,11518
Louisa,11504
Greene,11404
Clarke,10848
Emmet,10520
Keokuk,10485
Humboldt,10447
Palo Alto,10187
Howard,10163
Monona,9885
Lyon,9233
Lucas,8784
Worth,8701
Adair,8033
Monroe,7787
Pocahontas,7693
Audubon,7324
Davis,7287
Ida,7264
Decatur,7139
Fremont,6897
Van Buren,6576
Taylor,6498
Ringgold,6265
Wayne,6153
Osceola,5851
Adams,4543
.,147
