County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,659851,62493,52326,598,532,66
Linn,277256,21469,19262,329,293,36
Black Hawk,205575,16877,14787,306,283,23
Johnson,201448,14666,13158,80,75,5
Scott,199339,20041,17214,234,214,20
Dubuque,181096,14246,12303,202,188,14
Story,156070,10966,9694,47,41,6
Woodbury,140161,16040,13879,219,201,18
Dallas,122657,12105,10288,96,84,12
Pottawattamie,114336,11664,9864,160,141,19
Marshall,79305,5125,4618,74,66,8
Cerro Gordo,73256,5571,4962,86,72,14
Warren,72867,5965,5160,86,76,10
Webster,66339,5335,4906,91,77,14
Clinton,60101,5766,4989,89,77,12
Des Moines,53795,4725,4260,65,54,11
Muscatine,52884,4864,4232,96,87,9
Lee,51900,3902,3581,55,42,13
Jasper,49511,4391,3872,70,65,5
Wapello,45314,4602,4017,120,116,4
Buena Vista,43514,4855,4106,40,36,4
Sioux,42739,5189,4774,73,70,3
Boone,42558,2745,2443,31,29,2
Poweshiek,41394,1595,1473,33,30,3
Marion,40634,3736,3403,75,64,11
Washington,39182,2643,2373,49,45,4
Bremer,37622,2915,2672,60,51,9
Winneshiek,37167,1999,1821,33,28,5
Plymouth,36749,4228,3657,79,71,8
Benton,35750,2642,2392,55,44,11
Carroll,35086,2977,2679,50,43,7
Henry,34869,2995,2772,37,36,1
Fayette,34235,1903,1763,41,36,5
Hardin,33056,1911,1680,42,34,8
Tama,31548,2187,1967,71,67,4
Mahaska,29641,2341,2120,49,44,5
Buchanan,29588,1974,1762,31,26,5
Cedar,29409,1905,1734,23,21,2
Clay,28796,2186,1872,25,20,5
Iowa,28532,1509,1397,24,22,2
Butler,28447,1709,1560,34,30,4
Delaware,26673,2049,1838,39,35,4
Crawford,26481,2849,2532,39,34,5
Dickinson,25438,2560,2065,43,37,6
Kossuth,25139,2227,1960,61,54,7
Jones,24945,3032,2809,55,51,4
O'Brien,24892,2094,1806,60,55,5
Jackson,24676,2294,2074,42,39,3
Floyd,24361,1716,1453,42,32,10
Clayton,23937,1739,1561,55,46,9
Hamilton,22579,1954,1701,49,45,4
Mills,20765,1735,1497,20,17,3
Page,20542,1951,1799,20,18,2
Allamakee,20434,1541,1419,51,41,10
Harrison,20408,1873,1613,73,69,4
Hancock,20265,1523,1354,34,27,7
Cherokee,20206,1664,1457,38,30,8
Wright,20091,1856,1722,35,28,7
Cass,19973,1418,1263,54,48,6
Jefferson,19745,1421,1267,35,29,6
Madison,19698,1655,1457,19,15,4
Sac,19062,1333,1190,19,19,0
Franklin,18888,1221,1077,21,19,2
Grundy,18645,1425,1297,32,27,5
Palo Alto,17823,1150,1006,22,20,2
Calhoun,17665,1381,1294,11,11,0
Guthrie,17661,1244,1086,28,23,5
Monona,17552,860,752,30,28,2
Mitchell,17188,1363,1196,41,38,3
Appanoose,17125,1428,1192,47,43,4
Chickasaw,16791,1285,1194,15,13,2
Winnebago,16789,1452,1296,31,26,5
Louisa,16658,1324,1192,49,42,7
Union,16506,1320,1177,32,26,6
Emmet,16334,1347,1122,40,38,2
Shelby,16304,1325,1161,37,33,4
Howard,16259,1068,986,22,18,4
Lyon,15163,1542,1438,41,37,4
Keokuk,15010,1014,901,30,30,0
Humboldt,14903,1224,1120,26,23,3
Greene,14336,809,731,10,10,0
Montgomery,13782,1074,934,37,35,2
Clarke,12872,1039,943,23,22,1
Worth,12384,739,664,8,7,1
Pocahontas,12358,875,798,21,21,0
Ida,12046,993,813,33,31,2
Adair,11969,962,796,32,22,10
Audubon,11754,510,465,9,8,1
Pending Investigation,11370,1027,935,0,0,0
Davis,10628,867,749,24,23,1
Decatur,10112,602,574,9,9,0
Ringgold,9381,553,497,22,18,4
Monroe,9360,972,879,28,21,7
Lucas,8994,777,714,22,18,4
Osceola,8312,765,672,16,13,3
Taylor,8293,673,632,12,10,2
Van Buren,8088,580,521,18,15,3
Fremont,7033,635,555,10,8,2
Wayne,6521,556,468,23,18,5
Adams,5358,334,316,4,4,0
