ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,263950,250149,13801
19021,10558,6950,3608
19027,10736,9582,1154
19049,46179,43579,2600
19181,17841,16764,1077
19013,72802,66499,6303
19033,26640,24609,2031
19169,51513,48560,2953
19195,1727,1726,1
19083,7439,6092,1347
19189,4387,3875,512
19155,48772,43824,4948
19139,18710,13652,5058
19009,2102,2001,101
19005,5660,5541,119
19099,14997,13826,1171
19103,93617,89234,4383
19017,13418,12115,1303
19065,10891,9949,942
19061,61526,59252,2274
19041,8426,8114,312
19063,4968,4580,388
19147,3451,3286,165
19193,47712,42696,5016
19003,1664,1654,10
19173,2221,2197,24
19175,5154,4823,331
19067,7415,6264,1151
19035,4923,4617,306
19123,7935,7346,589
19183,7715,7151,564
19179,12987,11966,1021
19073,4874,4359,515
19113,129277,120168,9109
19019,6512,6163,349
19101,8300,7297,1003
19127,16704,13698,3006
19109,6390,5886,504
19187,18164,16781,1383
19037,3141,2781,360
19011,7960,7492,468
19045,18021,16391,1630
19081,3716,2990,726
19131,4552,4378,174
19029,10526,10080,446
19135,3479,3164,315
19059,7797,7535,262
19159,2081,2075,6
19163,85360,78913,6447
19125,15918,11875,4043
19149,9983,6990,2993
19015,11756,11172,584
19141,5597,5227,370
19091,4305,3893,412
19151,2045,1882,163
19055,5371,4570,801
19031,6445,6153,292
19167,12619,9900,2719
19143,1686,1501,185
19161,3270,3216,54
19069,3700,3439,261
19133,2350,2129,221
19075,4950,4516,434
19171,9105,8121,984
19137,3780,3192,588
19111,13918,11878,2040
19197,6559,4809,1750
19047,7633,6029,1604
19077,4611,4329,282
19093,2094,1583,511
19051,4871,3196,1675
19025,4276,4084,192
19145,7522,6668,854
19057,18505,17774,731
19007,4646,4159,487
19157,9500,9057,443
19191,9133,8070,1063
19023,3981,3800,181
19087,9191,7211,1980
19001,2529,2191,338
19079,7268,6856,412
19095,6285,5651,634
19119,3046,2962,84
19043,6612,5943,669
19117,3810,3380,430
19039,5551,4168,1383
19107,1698,1598,100
19165,5854,5700,154
19185,3284,2890,394
19115,4746,3196,1550
19053,2959,2836,123
19177,1549,1420,129
19121,6997,6826,171
19085,3539,3281,258
,5211,5210,1
19105,7082,6128,954
19097,8220,7956,264
19129,5964,5808,156
19089,2341,2146,195
19071,1701,1603,98
