County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,41305,193137,9203,436634
Linn,17092,97265,7382,217698
Johnson,11522,75136,3451,164902
Scott,10373,65059,4906,146673
Story,8371,39226,2096,87963
Black Hawk,6946,56633,5222,125676
Dallas,6400,34358,1764,75563
Pottawattamie,6064,36177,4543,83905
Woodbury,4851,36214,4212,81079
Dubuque,4682,52962,1690,112097
Cerro Gordo,2695,21189,1352,46486
Warren,2409,14178,729,31312
Des Moines,2191,15153,598,33128
Clinton,2155,13261,1194,29951
Webster,2053,14280,961,31823
Jasper,1915,11253,775,25011
Muscatine,1846,11100,4341,28512
Marshall,1777,10918,2548,26098
Wapello,1354,10119,478,22175
Bremer,1282,10585,1080,23522
Boone,1185,9454,409,20440
Page,1163,5581,645,12982
Marion,1126,10418,3848,25950
Lee,1115,10220,1449,23267
Tama,1085,6559,956,15120
Winneshiek,1012,6561,802,14953
Henry,939,6158,1463,14768
Jefferson,938,6123,829,14019
Washington,934,5992,454,13382
Sioux,927,8703,2478,20828
Poweshiek,900,7874,246,16845
Mahaska,795,6368,354,13931
Carroll,786,8457,951,18797
Buena Vista,763,5805,3179,15641
Mills,735,4703,108,10268
Jones,725,5118,724,11736
Emmet,658,4251,326,9585
Fayette,653,9208,848,19939
Clay,640,7295,136,15329
Madison,612,6136,128,13060
Cass,608,9382,311,19896
Benton,597,6731,404,14476
Dickinson,592,6771,168,14309
Floyd,538,5562,862,12540
Plymouth,502,6242,2827,15848
Kossuth,486,5209,381,11337
Union,477,4169,197,8926
Hamilton,474,6153,373,13303
Jackson,471,7266,184,15170
Allamakee,453,5107,78,10749
Delaware,442,3998,675,9089
Hardin,436,5453,1212,12608
Buchanan,418,5544,234,11736
Harrison,418,3014,204,6660
Crawford,410,5332,1501,12599
Cedar,393,5632,238,11870
Montgomery,388,2792,527,6529
Appanoose,388,3799,426,8500
Wright,369,4175,1554,10254
Hancock,366,2570,613,6118
Cherokee,358,4181,210,8937
O'Brien,357,4682,274,10003
Shelby,355,5204,80,10890
Greene,350,3922,438,8706
Guthrie,350,3780,197,8123
Grundy,327,4135,265,8870
Clayton,324,5661,616,12301
Humboldt,311,3597,334,7978
Iowa,300,5244,511,11315
Monona,292,1757,116,3910
Clarke,290,3692,1310,8993
Winnebago,288,3475,429,7692
Lyon,260,2729,42,5757
Out of State,248,4254,0,8451
Wayne,238,2716,349,6115
Louisa,227,2950,1498,7602
Mitchell,226,4035,108,8421
Monroe,223,2808,228,6096
Lucas,222,3023,350,6712
Franklin,217,3153,204,6737
Palo Alto,215,3032,119,6433
Calhoun,203,3925,150,8219
Adair,199,1972,299,4380
Decatur,197,2648,110,5692
Chickasaw,179,2576,305,5629
Howard,175,1891,135,4076
Davis,169,2992,1629,7812
Butler,168,3684,113,7657
Sac,152,3132,34,6466
Ida,142,1427,461,3455
Ringgold,135,1882,3,3950
Taylor,130,2072,9,4303
Fremont,129,1477,82,3164
Worth,126,1565,0,3252
Pocahontas,119,1732,140,3725
Adams,115,1557,2,3408
Keokuk,114,1445,100,3104
Van Buren,105,1350,90,2896
Osceola,95,1356,129,2936
Audubon,63,1885,101,3931
