Age Group Public,RECIP_ID
0 - 11,7
12 - 15,76589
16 - 17,54777
18 - 19,64912
20 - 29,332143
30 - 39,370422
40 - 49,383246
50 - 59,469592
60 - 64,291722
65+,915367
