Age Group Public,RECIP_ID
0 - 11,10
12 - 15,94093
16 - 17,60589
18 - 19,69656
20 - 29,347358
30 - 39,384145
40 - 49,396156
50 - 59,482530
60 - 64,297598
65+,925314
