County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,688510,63810,53896,613,543,70
Linn,289693,21869,19545,332,296,36
Black Hawk,212273,17097,14996,306,283,23
Johnson,209430,15094,13430,83,77,6
Scott,208842,20793,17827,238,216,22
Dubuque,189042,14507,12514,206,190,16
Story,161150,11173,9983,47,41,6
Woodbury,145288,16294,14322,224,206,18
Dallas,127190,12316,10588,97,84,13
Pottawattamie,119112,11987,10176,164,145,19
Marshall,81982,5152,4669,75,67,8
Warren,76603,6143,5301,87,77,10
Cerro Gordo,75941,5707,5023,87,73,14
Webster,67986,5375,4956,92,77,15
Clinton,62657,5908,5114,92,79,13
Des Moines,55580,4808,4293,65,54,11
Muscatine,54987,4987,4357,98,89,9
Lee,53347,3933,3595,55,42,13
Jasper,51349,4437,3964,70,65,5
Wapello,46786,4620,4099,122,118,4
Sioux,45153,5262,4882,73,70,3
Buena Vista,44868,4882,4144,40,36,4
Boone,44214,2787,2490,33,31,2
Poweshiek,43813,1610,1486,33,30,3
Marion,42176,3776,3451,75,64,11
Washington,41139,2673,2401,50,46,4
Winneshiek,39292,2033,1860,33,28,5
Bremer,39202,2943,2699,60,51,9
Plymouth,38103,4290,3777,79,71,8
Benton,37019,2679,2421,55,44,11
Carroll,36343,3030,2705,52,43,9
Henry,36004,3032,2801,37,36,1
Fayette,35972,1918,1780,41,36,5
Hardin,34565,1954,1717,42,34,8
Tama,32576,2203,1980,71,67,4
Cedar,31008,1955,1761,23,21,2
Buchanan,30930,2001,1807,31,26,5
Mahaska,30636,2375,2144,50,45,5
Clay,30382,2243,1990,25,20,5
Iowa,29606,1534,1417,24,22,2
Butler,29393,1718,1574,34,30,4
Delaware,28447,2100,1904,39,35,4
Crawford,27434,2865,2557,40,35,5
Dickinson,26693,2638,2236,43,37,6
Kossuth,26128,2259,2017,64,56,8
Jones,26042,3067,2843,56,51,5
O'Brien,25982,2133,1863,60,55,5
Jackson,25585,2328,2109,42,39,3
Floyd,25437,1758,1485,42,32,10
Clayton,24891,1761,1576,56,47,9
Hamilton,23265,1976,1717,49,45,4
Page,21299,1973,1848,21,19,2
Hancock,21292,1546,1371,34,27,7
Mills,21261,1768,1540,21,18,3
Harrison,21216,1909,1638,73,69,4
Allamakee,20970,1547,1438,51,41,10
Cherokee,20812,1680,1500,38,30,8
Wright,20677,1882,1739,35,28,7
Cass,20669,1446,1279,54,48,6
Madison,20514,1701,1487,19,15,4
Jefferson,20372,1434,1274,35,29,6
Sac,20047,1372,1220,19,19,0
Franklin,19339,1243,1092,21,19,2
Grundy,19262,1433,1308,32,27,5
Palo Alto,18702,1174,1043,23,22,1
Guthrie,18469,1273,1132,29,24,5
Calhoun,18258,1387,1311,13,12,1
Monona,18095,876,766,30,28,2
Mitchell,17844,1365,1216,41,38,3
Appanoose,17723,1446,1206,47,43,4
Winnebago,17378,1494,1309,31,26,5
Chickasaw,17335,1295,1205,15,13,2
Louisa,17228,1337,1203,49,42,7
Shelby,17162,1351,1213,37,33,4
Union,16976,1317,1189,32,26,6
Emmet,16971,1389,1185,40,38,2
Howard,16745,1081,998,22,18,4
Lyon,16175,1568,1464,41,37,4
Keokuk,15640,1019,907,31,31,0
Humboldt,15411,1232,1150,26,23,3
Greene,14880,818,745,10,10,0
Montgomery,14347,1097,951,37,35,2
Clarke,13362,1047,954,24,22,2
Worth,13065,762,676,8,7,1
Pocahontas,12853,891,811,21,21,0
Ida,12469,1009,839,34,32,2
Adair,12239,973,806,32,22,10
Audubon,12166,515,471,9,8,1
Davis,10977,873,763,24,23,1
Pending Investigation,10513,1030,956,0,0,0
Decatur,10357,607,578,9,9,0
Monroe,9675,991,889,28,21,7
Ringgold,9605,556,510,24,18,6
Lucas,9322,790,726,23,18,5
Osceola,8917,802,700,16,13,3
Taylor,8583,678,633,12,10,2
Van Buren,8399,582,531,18,15,3
Fremont,7280,650,585,9,7,2
Wayne,6988,566,489,23,18,5
Adams,5574,343,318,4,4,0
