RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,248420,235317,13103
19161,4095,3758,337
19027,10059,9056,1003
19013,61586,56201,5385
19017,12090,11041,1049
19019,9015,8383,632
19195,3032,2845,187
19033,20983,19273,1710
19081,4230,3770,460
19169,49290,46560,2730
19139,20040,16012,4028
19165,5455,5230,225
19009,2676,2522,154
19191,10188,9297,891
19103,87786,82956,4830
19065,8590,8002,588
19061,50572,48814,1758
19147,3645,3421,224
19183,9894,9186,708
19193,40824,36213,4611
19003,1537,1476,61
19173,2285,2211,74
19041,6764,6366,398
19125,13610,11476,2134
19123,7443,6639,804
19157,8688,8234,454
19099,16974,15393,1581
19073,4100,3586,514
19113,118938,110537,8401
19049,47510,45137,2373
19171,8038,7191,847
19109,6442,5883,559
19187,16087,14703,1384
19011,11655,10755,900
19045,19053,17607,1446
19067,6603,6070,533
19189,4423,3843,580
19131,4152,3950,202
19029,6024,5669,355
19135,2866,2545,321
19127,19427,16808,2619
19063,3754,3441,313
19159,2049,2007,42
19115,4373,3335,1038
19163,71884,66632,5252
19149,10408,8302,2106
19059,8123,7851,272
19093,2670,2265,405
19015,13495,12751,744
19141,5651,5129,522
19075,6048,5572,476
19091,3806,3444,362
19151,2815,2600,215
19055,7304,6457,847
19101,6982,6270,712
19005,5294,5064,230
19181,23720,22382,1338
19025,4618,4279,339
19083,7507,6585,922
19069,4255,3881,374
19023,6847,6406,441
19133,3644,3410,234
19085,5371,5009,362
19137,4306,3781,525
19111,12790,11242,1548
19197,5754,4847,907
19179,13292,10919,2373
19121,6901,6566,335
19143,2242,2024,218
19051,2595,2432,163
19047,6938,5618,1320
19145,6276,5742,534
19043,6916,6339,577
19057,15001,14116,885
19007,4571,4152,419
19107,3755,3453,302
19077,5035,4697,338
19129,5841,5562,279
19021,9481,6479,3002
19087,8368,6778,1590
19079,7375,6701,674
19035,4843,4474,369
19001,2887,2567,320
19037,5180,4490,690
19095,8122,7421,701
19167,11547,9872,1675
19089,3728,3259,469
19119,3432,3258,174
19185,2141,1970,171
19039,3893,3189,704
19097,8315,7940,375
19155,37172,35040,2132
19117,3118,2721,397
19031,8936,8273,663
19175,4940,4672,268
19071,2538,2340,198
19053,2476,2244,232
19177,2275,2066,209
19105,9937,8908,1029
,44,38,6
