County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,969965,85772,72123,754,664,90
Linn,422129,32340,27863,409,367,42
Black Hawk,301662,22970,19823,364,333,31
Scott,300107,27030,24022,282,253,29
Johnson,297594,19697,17528,101,92,9
Dubuque,261428,18252,15113,236,214,22
Story,208458,14127,12567,53,47,6
Woodbury,197683,21347,18315,248,229,19
Dallas,176250,16173,13611,108,94,14
Pottawattamie,158113,16316,13846,205,178,27
Marshall,121366,7012,6199,91,80,11
Cerro Gordo,110669,7902,6671,117,98,19
Warren,107464,8670,7387,100,90,10
Webster,100512,7448,6706,120,100,20
Clinton,90729,7826,6592,104,89,15
Lee,86141,6178,5473,100,84,16
Des Moines,82056,7458,6407,100,86,14
Muscatine,79897,6897,6135,117,108,9
Jasper,72944,6405,5550,87,79,8
Wapello,67042,6666,5546,139,134,5
Boone,62124,3921,3353,38,35,3
Marion,61405,5543,4838,95,80,15
Washington,61038,3998,3519,59,55,4
Sioux,59951,6061,5499,77,73,4
Poweshiek,59765,2333,1998,42,39,3
Bremer,58112,3830,3422,70,60,10
Buena Vista,58036,5763,4839,47,42,5
Benton,54259,3982,3412,57,45,12
Hardin,53646,2927,2573,52,40,12
Fayette,53555,2827,2446,52,46,6
Henry,52711,4219,3733,51,48,3
Winneshiek,51209,2502,2249,39,32,7
Plymouth,48799,5059,4466,88,80,8
Carroll,48070,3782,3335,53,44,9
Cedar,46071,2700,2385,27,25,2
Buchanan,45331,3058,2663,39,32,7
Tama,44966,2884,2526,77,73,4
Mahaska,43346,3576,2993,59,54,5
Clay,42689,3021,2687,35,30,5
Iowa,42542,2269,1982,31,29,2
Delaware,40791,2786,2456,50,44,6
Butler,39727,2273,1969,39,33,6
Jones,37317,3968,3533,61,54,7
Crawford,36704,3751,3310,47,41,6
Clayton,36256,2435,2027,58,49,9
Kossuth,36102,2942,2601,74,65,9
Floyd,35915,2589,2088,46,35,11
Dickinson,35416,3290,2883,52,46,6
Jackson,34850,2973,2616,46,42,4
O'Brien,34000,2508,2140,65,60,5
Hamilton,32954,2689,2218,57,52,5
Jefferson,32735,2284,1910,41,34,7
Page,31149,2729,2360,30,26,4
Cass,30622,2321,1775,59,53,6
Hancock,30141,2080,1785,39,31,8
Cherokee,29479,2134,1851,45,34,11
Mills,29421,2277,1930,29,25,4
Madison,28959,2413,2091,25,21,4
Allamakee,28878,2061,1853,54,44,10
Franklin,28479,1834,1584,28,25,3
Wright,27822,2633,2338,48,40,8
Harrison,27570,2403,2073,78,73,5
Calhoun,27455,1981,1811,18,17,1
Sac,27324,1730,1516,26,24,2
Appanoose,26479,2133,1665,52,46,6
Grundy,26370,1820,1623,37,31,6
Guthrie,25792,1705,1488,34,28,6
Mitchell,25767,1848,1558,43,40,3
Palo Alto,25656,1528,1367,32,31,1
Winnebago,25291,2096,1808,34,28,6
Louisa,25127,1823,1639,52,45,7
Union,24285,1808,1546,38,30,8
Shelby,24132,1949,1665,41,37,4
Monona,24021,1227,1029,39,37,2
Chickasaw,23825,1741,1525,18,14,4
Howard,22915,1416,1206,23,19,4
Lyon,22815,2020,1836,42,38,4
Emmet,22142,1825,1567,46,43,3
Keokuk,22136,1529,1322,37,36,1
Humboldt,21512,1830,1593,28,24,4
Greene,21409,1277,1106,17,16,1
Montgomery,19781,1632,1328,42,40,2
Worth,19511,1207,1048,9,8,1
Clarke,19164,1556,1362,29,27,2
Pocahontas,18440,1214,1050,24,24,0
Audubon,18077,728,619,14,13,1
Davis,17666,1278,1100,25,23,2
Ida,16954,1345,1104,41,37,4
Adair,15512,1222,979,36,25,11
Decatur,14502,885,790,13,13,0
Lucas,14397,1206,1076,24,18,6
Monroe,14326,1444,1260,38,28,10
Ringgold,13701,718,633,29,23,6
Osceola,13349,1027,870,17,14,3
Van Buren,13205,906,797,21,18,3
Taylor,12476,887,763,13,11,2
Wayne,11568,831,684,24,19,5
Fremont,10207,959,804,11,9,2
Adams,8449,554,480,8,6,2
Unknown,6216,95,0,0,0,0
