RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,500526,18288,234611,13013
19161,7977,143,3749,336
19027,19454,369,9042,1001
19013,120959,3475,56058,5369
19017,23662,611,11004,1043
19019,17716,375,8356,629
19195,5978,118,2838,184
19033,41206,1157,19178,1693
19081,8124,141,3763,457
19169,98970,3324,46463,2718
19139,37101,1144,15970,4017
19165,10878,207,5224,223
19009,5270,75,2522,151
19191,19892,420,9291,890
19103,174828,4409,82800,4821
19065,16985,419,7993,580
19061,101113,1847,48759,1748
19147,7227,177,3413,223
19183,19565,531,9166,702
19193,79732,2975,36086,4585
19003,3082,71,1475,61
19173,4579,92,2207,73
19041,13413,325,6345,397
19125,25717,689,11450,2128
19123,14457,414,6621,801
19157,17331,428,8225,453
19099,33167,888,15352,1575
19073,7879,208,3579,513
19113,235077,6193,110265,8352
19049,95341,2935,45024,2360
19171,15654,457,7176,844
19109,12611,310,5875,552
19187,31654,973,14658,1365
19011,22953,565,10745,898
19045,37568,1021,17556,1435
19067,12957,329,6054,520
19189,8454,208,3834,578
19131,8247,151,3948,200
19029,11930,262,5657,354
19135,5523,124,2541,317
19127,37332,1184,16771,2607
19063,7516,339,3432,313
19159,4112,76,1998,40
19115,7907,217,3328,1034
19163,142768,4605,66464,5235
19149,19142,469,8288,2097
19059,16377,422,7842,271
19093,5029,112,2258,401
19015,26888,687,12728,744
19141,10979,217,5121,520
19075,11915,310,5567,471
19091,7399,167,3437,358
19151,5514,109,2596,213
19055,14013,282,6444,843
19101,13700,480,6254,712
19005,10640,294,5060,226
19181,47474,1478,22336,1324
19025,9076,195,4271,339
19083,14343,272,6576,919
19069,8315,197,3873,372
19023,13496,284,6388,436
19133,7186,140,3407,232
19085,10710,352,5000,358
19137,8361,284,3776,525
19111,24619,645,11220,1535
19197,10822,240,4838,906
19179,24817,698,10882,2355
19121,13783,341,6555,332
19143,4327,79,2015,218
19051,5159,141,2430,158
19047,12824,289,5609,1317
19145,12440,436,5735,534
19043,13476,226,6337,576
19057,30155,1116,14077,885
19007,8958,239,4151,417
19107,7355,153,3450,302
19077,9979,274,4685,335
19129,11770,377,5557,279
19021,16487,576,6463,2986
19087,15554,426,6771,1586
19079,14381,321,6693,674
19035,9524,225,4468,363
19001,5598,154,2563,318
19037,9849,189,4486,688
19095,15904,391,7407,699
19167,21856,475,9860,1661
19089,7126,145,3258,465
19119,6788,106,3254,174
19185,4219,111,1969,170
19039,7300,236,3181,702
19097,16533,305,7928,372
19155,74597,2623,34926,2123
19117,5958,136,2715,392
19031,17580,405,8256,662
19175,9891,294,4665,266
19071,4992,118,2338,198
19053,4820,124,2232,232
19177,4436,113,2061,201
19105,19162,355,8891,1025
,87,5,38,6
