Gender (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),* Gender Percent Vaccinated,Gender (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
Female,0.4904308410064426,Female
Male,0.4139636872841844,Male
