ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,554586,27786,256081,15032
19021,19100,1061,7155,3632
19027,21687,742,9775,1222
19049,95155,4586,44563,2810
19181,36571,1591,17012,1128
19013,148546,6022,67970,6384
19033,55059,2580,25149,2105
19169,106128,4968,49384,3163
19195,3563,63,1751,1
19083,14228,440,6182,1351
19189,8774,294,3975,513
19081,6891,125,3012,743
19155,100872,5452,44757,4982
19139,34613,1363,13966,5202
19009,4201,48,2026,101
19005,11839,410,5647,126
19099,30135,1052,14043,1203
19103,192076,6863,90486,4557
19017,27275,1002,12428,1424
19065,21730,597,10082,959
19061,126906,4035,60344,2376
19041,17422,659,8258,313
19063,10418,616,4634,408
19147,7054,200,3331,167
19193,98113,5520,43978,5058
19003,3625,88,1664,18
19173,4652,117,2238,31
19175,10623,493,4937,352
19067,14417,435,6376,1217
19035,10096,331,4693,372
19123,16269,658,7487,589
19183,15925,677,7320,594
19179,26824,1226,12219,1038
19073,9687,269,4412,523
19113,263076,10200,122310,9531
19019,13507,519,6315,367
19101,16660,762,7451,1003
19127,32555,1447,14017,3208
19109,12919,409,5973,524
19187,37854,1735,17225,1432
19037,6107,140,2807,362
19011,16152,496,7589,479
19141,11357,345,5308,392
19045,37317,1849,16842,1700
19131,9331,234,4442,188
19029,21714,606,10205,467
19135,7030,186,3222,367
19059,16268,674,7656,280
19159,4403,132,2104,6
19163,177116,8085,80569,6670
19125,29647,1127,12124,4122
19149,17877,588,7129,2995
19015,23978,720,11365,603
19091,8778,302,3944,436
19151,4094,108,1902,178
19055,10496,470,4620,822
19031,13081,324,6246,298
19167,23775,828,10076,2786
19143,3284,52,1518,197
19161,6670,141,3220,67
19069,7456,229,3474,271
19133,4622,122,2143,230
19075,10145,497,4570,500
19171,18113,680,8181,984
19137,7601,419,3278,601
19111,27985,1299,12147,2159
19197,11933,347,4905,1797
19047,14526,583,6154,1608
19077,9356,277,4370,316
19093,3841,123,1597,527
19051,8480,245,3246,1689
19025,8527,105,4091,208
19145,15265,805,6788,855
19057,39595,2181,18295,768
19007,9469,429,4221,508
19157,19391,641,9192,464
19191,18224,723,8233,1070
19023,7954,106,3821,191
19087,17504,703,7367,2019
19053,6181,209,2872,132
19097,16947,505,8077,303
19001,4880,164,2209,344
19079,14845,363,6952,418
19095,12290,236,5691,652
19119,6256,149,2995,107
19043,12957,273,5985,669
19117,7568,214,3411,441
19039,10328,397,4266,1387
19107,3381,67,1608,100
19165,12182,362,5806,172
19185,6545,199,2915,406
19115,8169,177,3219,1561
19121,14493,392,6921,182
19177,3044,71,1420,131
19085,7253,364,3302,270
,10381,240,5210,1
19105,13849,389,6214,989
19129,12559,602,5879,167
19089,4737,190,2172,220
19071,3413,101,1607,98
