Age Group Public,RECIP_ID
0 - 11,7
12 - 15,82030
16 - 17,56581
18 - 19,66417
20 - 29,337070
30 - 39,374701
40 - 49,387320
50 - 59,473634
60 - 64,293608
65+,919464
