Age Group Public,RECIP_ID
0 - 11,7
12 - 15,80013
16 - 17,55862
18 - 19,65831
20 - 29,335054
30 - 39,372975
40 - 49,385725
50 - 59,472042
60 - 64,292934
65+,918295
