RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,542954,24643,251717,14877
19059,17351,551,8243,314
19161,8549,284,3938,389
19027,20621,566,9479,1097
19013,130633,5200,59843,5747
19017,25278,801,11677,1123
19019,19260,661,8960,679
19103,182913,5491,86052,5318
19195,6462,207,3028,199
19033,44557,1712,20490,1865
19081,8707,266,3970,501
19169,104560,4111,48679,3091
19139,40049,1607,17058,4326
19165,11535,330,5471,263
19009,5555,152,2619,165
19191,20944,574,9720,930
19065,18107,673,8402,630
19061,106812,2892,50992,1936
19147,7655,253,3574,254
19183,20897,756,9688,765
19003,3291,122,1548,73
19173,4882,137,2330,85
19041,14313,496,6701,415
19125,27875,1099,12246,2284
19123,15726,659,7100,867
19157,18450,676,8635,504
19099,35724,1376,16326,1696
19073,8435,327,3779,550
19113,251232,8370,116845,9172
19049,102951,4173,48032,2714
19193,87865,4457,39327,4754
19171,16857,686,7633,905
19109,13305,413,6145,602
19187,34319,1442,15679,1519
19011,24721,859,11447,968
19141,11618,347,5346,579
19045,40754,1628,18769,1588
19067,14027,442,6483,619
19189,8988,292,4048,600
19131,8861,299,4164,234
19029,12711,381,5964,402
19135,5900,185,2676,363
19127,40397,1635,17913,2936
19063,7934,407,3597,333
19159,4376,110,2110,46
19163,154301,6594,70987,5733
19115,8726,382,3613,1118
19149,20558,748,8833,2144
19093,5404,206,2378,442
19015,28785,978,13479,849
19075,12877,482,5916,563
19091,7978,267,3655,401
19151,5914,183,2739,253
19055,15094,521,6840,893
19101,14712,651,6653,755
19005,11449,437,5385,242
19181,51249,2092,23798,1561
19025,9655,277,4491,396
19083,15374,540,6909,1016
19069,8992,337,4122,411
19023,14397,449,6728,492
19133,7654,286,3547,274
19085,11517,590,5272,383
19137,9039,426,4032,549
19111,26813,968,12037,1771
19037,10562,362,4717,766
19197,11657,395,5138,986
19179,27041,1126,11703,2509
19121,14869,540,6968,393
19095,17045,496,7892,765
19143,4543,102,2099,243
19051,5572,203,2591,187
19047,13997,581,6018,1380
19155,81842,3865,37851,2275
19145,13330,588,6095,552
19043,14104,381,6562,599
19057,33192,1589,15299,1005
19007,9600,400,4369,462
19107,7888,263,3649,327
19077,10675,386,4951,387
19129,12825,519,5996,314
19021,18619,1142,7101,3275
19087,16955,700,7256,1743
19053,5243,225,2379,260
19097,17719,514,8391,423
19079,15451,506,7109,727
19035,10208,390,4705,408
19001,5937,227,2684,342
19175,10639,438,4947,307
19167,23485,879,10411,1784
19089,7707,326,3431,519
19119,7146,181,3373,219
19185,4523,179,2072,200
19039,8062,372,3472,746
19105,20391,599,9336,1120
19117,6368,205,2864,435
19031,18808,541,8777,713
19071,5327,185,2470,202
19177,4817,203,2180,254
,71,5,31,4
