County,Number of Doses
Polk,548196
Linn,253101
Johnson,183956
Scott,155789
Black Hawk,131927
Dubuque,107551
Story,105394
Dallas,103877
Woodbury,88919
Pottawattamie,82843
Warren,51732
Cerro Gordo,45032
Clinton,41164
Marshall,40840
Muscatine,40443
Jasper,36020
Webster,34715
Des Moines,33507
Boone,28986
Marion,28165
Wapello,27382
Lee,27088
Bremer,25504
Benton,24998
Sioux,23795
Washington,21125
Winneshiek,21107
Carroll,20804
Plymouth,20791
Jones,20540
Buchanan,19471
Cedar,18951
Buena Vista,18942
Poweshiek,18584
Fayette,18306
Jackson,17882
Dickinson,17490
Iowa,17150
Henry,17121
Tama,17048
Mahaska,15921
Hamilton,15571
Hardin,15563
Delaware,15238
Madison,15013
Jefferson,14844
Butler,14538
Clay,14423
Clayton,14205
Floyd,14162
Crawford,14155
Page,13433
Kossuth,13396
Grundy,12977
Mills,12944
Cass,12803
Wright,11748
O'Brien,11729
Harrison,11664
Shelby,11621
Allamakee,11586
Guthrie,10770
Union,10763
Chickasaw,10655
Cherokee,10284
Calhoun,9711
Appanoose,9679
Montgomery,9140
Franklin,9119
Winnebago,9063
Mitchell,8973
Louisa,8820
Hancock,8792
Sac,8639
Greene,8519
Clarke,8157
Humboldt,8055
Emmet,8001
Keokuk,7974
Howard,7798
Palo Alto,7727
Monona,7709
Lyon,7199
Worth,6526
Lucas,6419
Adair,5977
Pocahontas,5964
Monroe,5946
Davis,5616
Audubon,5599
Ida,5460
Fremont,5378
Decatur,5278
Taylor,4925
Van Buren,4893
Osceola,4571
Wayne,4564
Ringgold,4412
Adams,3320
.,73
