County,Number of Doses
Polk,745041
Linn,347306
Johnson,253267
Scott,215785
Black Hawk,178381
Dubuque,145777
Story,143236
Dallas,142680
Woodbury,117526
Pottawattamie,111549
Warren,70447
Cerro Gordo,60916
Marshall,55934
Clinton,55748
Muscatine,54691
Jasper,49638
Webster,46448
Des Moines,45780
Marion,39175
Boone,38659
Wapello,36989
Lee,36684
Bremer,34903
Benton,33932
Sioux,30718
Winneshiek,29657
Plymouth,28417
Washington,28412
Carroll,28086
Jones,27866
Buchanan,26193
Poweshiek,25816
Buena Vista,25740
Cedar,25640
Fayette,24953
Jackson,24383
Henry,23787
Dickinson,23471
Iowa,23297
Tama,22999
Mahaska,21825
Hardin,21368
Hamilton,21288
Delaware,21049
Madison,20258
Jefferson,19888
Clay,19518
Butler,19478
Floyd,19379
Crawford,19130
Clayton,18612
Page,18521
Kossuth,17788
Cass,17420
Grundy,17377
Mills,16854
Wright,16081
O'Brien,15812
Allamakee,15792
Shelby,15691
Harrison,14964
Chickasaw,14753
Union,14636
Guthrie,14495
Cherokee,13863
Appanoose,13409
Calhoun,13360
Mitchell,12421
Montgomery,12351
Franklin,12264
Winnebago,12255
Hancock,11937
Louisa,11921
Sac,11712
Greene,11700
Clarke,11133
Emmet,10829
Humboldt,10810
Keokuk,10759
Howard,10686
Palo Alto,10422
Monona,10144
Lyon,9446
Worth,9004
Lucas,8970
Adair,8284
Monroe,8067
Pocahontas,7986
Audubon,7552
Ida,7513
Davis,7477
Decatur,7339
Fremont,7060
Van Buren,6776
Taylor,6719
Ringgold,6435
Wayne,6375
Osceola,6050
Adams,4721
.,151
