EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,202361,35770,24116,353
Linn,88493,14994,9125,171
Scott,64176,12124,6897,95
Johnson,60032,9991,7155,41
Black Hawk,53525,11433,7919,152
Woodbury,46128,10959,8510,140
Dubuque,45099,9635,6950,100
Story,42648,7129,4915,25
Dallas,39642,6786,4561,60
Pottawattamie,36303,7033,4227,81
Warren,20372,3068,1778,17
Cerro Gordo,18231,3816,2155,52
Webster,17319,3832,2514,40
Clinton,16252,3538,2114,46
Des Moines,15998,3107,2002,23
Muscatine,15971,3141,1888,72
Marshall,15812,3652,2675,51
Jasper,12953,2370,1579,46
Wapello,12392,2733,1834,72
Sioux,12222,3883,2933,29
Buena Vista,12038,3214,2531,14
Lee,11694,2346,1358,21
Marion,11179,2170,1419,25
Plymouth,10426,2970,2117,45
Boone,9786,1508,959,12
Benton,9622,1780,1051,23
Carroll,8913,2075,1467,26
Bremer,8840,2053,1189,14
Pending Investigation,8720,736,57,0
Washington,8686,1535,889,16
Henry,8162,1999,1340,8
Dickinson,7999,1480,950,12
Jones,7747,2399,1485,19
Mahaska,7565,1368,921,28
Winneshiek,7172,1112,638,14
Buchanan,7117,1259,729,10
Crawford,6993,1848,1507,16
Fayette,6735,1126,635,12
Cedar,6732,1178,691,14
Jackson,6683,1543,1038,17
Tama,6476,1586,1168,42
Poweshiek,6364,1050,701,14
Wright,6355,1341,927,7
Hardin,6279,1255,712,12
Clay,6231,1294,748,6
Iowa,6151,1026,614,14
Delaware,6143,1493,1041,22
Mills,6117,1128,681,10
Floyd,5896,1154,604,24
Kossuth,5770,1230,642,9
Hamilton,5648,1210,608,15
Jefferson,5490,787,385,6
Madison,5351,768,475,5
Butler,5202,1097,624,12
Clayton,5194,1190,701,10
Union,5161,885,380,8
O'Brien,5070,1381,953,32
Harrison,4847,1161,804,32
Cass,4691,873,572,26
Page,4690,1203,878,5
Winnebago,4667,979,631,25
Allamakee,4459,923,510,13
Cherokee,4409,1004,547,4
Hancock,4407,943,551,8
Appanoose,4401,839,435,14
Calhoun,4320,1104,682,7
Grundy,4301,902,518,14
Guthrie,4257,807,517,15
Mitchell,4242,863,453,10
Louisa,4182,917,625,22
Sac,4153,922,546,9
Chickasaw,4048,929,739,6
Shelby,3901,819,540,14
Franklin,3828,775,477,21
Humboldt,3647,830,485,6
Emmet,3642,800,507,26
Palo Alto,3472,694,418,5
Lyon,3433,1086,689,10
Clarke,3352,517,396,4
Greene,3214,550,309,2
Howard,3210,597,324,9
Montgomery,3117,540,281,11
Keokuk,3040,676,324,9
Monona,2836,472,298,8
Pocahontas,2785,610,358,4
Adair,2711,479,284,10
Worth,2694,400,218,1
Lucas,2623,360,257,6
Decatur,2463,347,231,0
Ida,2397,571,322,16
Davis,2312,503,287,11
Monroe,2267,473,315,13
Van Buren,2025,387,237,5
Fremont,2018,395,268,3
Taylor,1971,483,325,3
Osceola,1879,556,371,2
Audubon,1869,313,228,2
Ringgold,1774,257,121,2
Wayne,1668,310,226,7
Adams,1150,193,107,2
