ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,536683,22968,250149,13801
19021,18320,715,6950,3608
19027,21067,573,9582,1154
19049,91903,3538,43579,2600
19181,35723,1287,16764,1077
19013,144277,4769,66499,6303
19033,53429,2106,24609,2031
19169,103649,4383,48560,2953
19195,3499,49,1726,1
19083,13883,292,6092,1347
19189,8548,270,3875,512
19155,97785,4269,43824,4948
19139,33612,1131,13652,5058
19009,4139,36,2001,101
19005,11522,312,5541,119
19099,29406,788,13826,1171
19103,188383,5887,89234,4383
19017,26402,868,12115,1303
19065,21358,507,9949,942
19061,123979,3393,59252,2274
19041,17005,524,8114,312
19063,10221,551,4580,388
19147,6940,176,3286,165
19193,94489,4505,42696,5016
19003,3582,74,1654,10
19173,4551,104,2197,24
19175,10249,366,4823,331
19067,14026,329,6264,1151
19035,9787,242,4617,306
19123,15855,527,7346,589
19183,15444,564,7151,564
19179,25973,899,11966,1021
19073,9516,210,4359,515
19113,256103,7916,120168,9109
19019,13050,382,6163,349
19101,16223,632,7297,1003
19127,31376,1106,13698,3006
19109,12660,347,5886,504
19187,36774,1553,16781,1383
19037,6020,106,2781,360
19011,15821,362,7492,468
19045,36179,1692,16391,1630
19081,6795,89,2990,726
19131,9114,162,4378,174
19029,21333,498,10080,446
19135,6859,183,3164,315
19059,15889,558,7535,262
19159,4310,96,2075,6
19163,172305,6802,78913,6447
19125,28833,892,11875,4043
19149,17481,468,6990,2993
19015,23485,612,11172,584
19141,11104,274,5227,370
19091,8577,228,3893,412
19151,4002,70,1882,163
19055,10136,231,4570,801
19031,12829,262,6153,292
19167,23107,579,9900,2719
19143,3225,40,1501,185
19161,6605,100,3216,54
19069,7308,161,3439,261
19133,4556,93,2129,221
19075,9817,343,4516,434
19171,17880,565,8121,984
19137,7325,330,3192,588
19111,27031,1000,11878,2040
19197,11643,294,4809,1750
19047,14091,408,6029,1604
19077,9165,206,4329,282
19093,3773,98,1583,511
19051,8311,192,3196,1675
19025,8482,90,4084,192
19145,14863,644,6668,854
19057,38175,1844,17774,731
19007,9217,321,4159,487
19157,18958,494,9057,443
19191,17728,556,8070,1063
19023,7892,89,3800,181
19087,16990,539,7211,1980
19001,4799,127,2191,338
19079,14560,277,6856,412
19095,12166,211,5651,634
19119,6142,122,2962,84
19043,12802,202,5943,669
19117,7446,166,3380,430
19039,10042,309,4168,1383
19107,3334,40,1598,100
19165,11878,284,5700,154
19185,6458,176,2890,394
19115,8073,139,3196,1550
19053,6070,179,2836,123
19177,3042,71,1420,129
19121,14198,298,6826,171
19085,7078,245,3281,258
,10376,243,5210,1
19105,13534,279,6128,954
19097,16540,380,7956,264
19129,12320,519,5808,156
19089,4614,143,2146,195
19071,3372,68,1603,98
