County,Number of Doses
Polk,800229
Linn,368577
Johnson,268199
Scott,230795
Black Hawk,188114
Dallas,154148
Dubuque,153243
Story,151925
Woodbury,124814
Pottawattamie,119187
Warren,74977
Cerro Gordo,64213
Marshall,60215
Clinton,59043
Muscatine,58338
Jasper,52348
Webster,48739
Des Moines,48275
Marion,41450
Boone,40904
Wapello,39080
Lee,38861
Bremer,36752
Benton,35949
Sioux,32827
Winneshiek,31532
Plymouth,30290
Washington,29896
Carroll,29713
Jones,29534
Buena Vista,27676
Buchanan,27614
Poweshiek,27228
Cedar,27098
Fayette,26386
Jackson,25838
Henry,24886
Dickinson,24774
Iowa,24652
Tama,24506
Mahaska,23250
Hamilton,22506
Hardin,22441
Delaware,22264
Madison,21541
Jefferson,20979
Clay,20803
Butler,20580
Floyd,20441
Crawford,20325
Clayton,19630
Page,19505
Kossuth,18766
Cass,18355
Grundy,18262
Mills,17888
Wright,16947
Shelby,16545
Allamakee,16541
O'Brien,16497
Harrison,15922
Chickasaw,15664
Union,15475
Guthrie,15204
Cherokee,14499
Appanoose,14099
Calhoun,13965
Montgomery,13088
Franklin,12959
Mitchell,12957
Winnebago,12861
Louisa,12797
Hancock,12558
Sac,12414
Greene,12308
Clarke,11737
Emmet,11415
Howard,11379
Humboldt,11373
Keokuk,11251
Palo Alto,10937
Monona,10738
Lyon,10004
Worth,9481
Lucas,9378
Adair,8715
Monroe,8460
Pocahontas,8393
Ida,7984
Audubon,7911
Davis,7864
Decatur,7770
Fremont,7393
Taylor,7052
Van Buren,7045
Ringgold,6701
Wayne,6656
Osceola,6357
Adams,4988
.,160
