ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19111,22338,1483,9668,1257
19109,11136,534,5084,381
19061,108896,5266,51162,1496
19059,13968,677,6556,163
19113,208130,19037,91637,7132
19153,413194,48646,178132,8283
19155,80316,7316,33780,4494
19013,121359,7721,54181,4969
19183,12763,1122,5612,403
19125,25153,1463,9893,3767
19165,10725,382,5112,70
19045,28639,2651,12387,1133
19049,69614,8989,30142,1627
19043,12087,454,5499,605
19163,141188,10001,62663,4560
19169,82441,10938,35300,1835
19021,15171,805,5549,3176
19041,15082,612,7202,106
19147,6312,248,2964,100
19083,12236,584,5207,1195
19039,8808,378,3561,1305
19139,27258,2309,10318,4193
19103,159051,11261,72452,3323
19033,45112,3071,20358,1258
19031,11500,607,5345,224
19151,3516,261,1561,130
19087,14027,1222,5780,1194
19181,30079,2949,13350,629
19057,32395,2284,14751,589
19191,14230,1249,6108,737
19171,14481,1316,6140,944
19121,12517,913,5728,115
19129,9920,761,4521,97
19117,6512,341,2878,333
19081,6029,380,2528,593
19073,8551,379,3841,417
19051,7705,219,2921,1617
19187,30968,2323,13743,923
19017,22834,1563,10136,1031
19027,18146,1118,8014,880
19193,79278,4739,35439,4067
19175,8697,512,4057,165
19019,11517,501,5403,216
19123,13520,932,6114,312
19137,6340,419,2688,515
19145,12685,1229,5398,632
19011,14015,817,6410,380
19079,12802,749,5784,345
19003,3370,128,1535,1
19115,7466,301,2844,1499
19101,13575,1002,5880,804
19025,7862,521,3593,135
19149,15557,511,6101,2808
19167,20208,1197,8268,2460
19075,8632,481,3954,237
19127,23926,3352,9050,2548
19131,8145,415,3817,82
19009,3863,117,1824,101
19091,7796,351,3490,324
19141,9797,385,4576,250
19023,7470,333,3508,113
19077,7897,517,3591,192
19065,19487,937,8840,844
19063,9418,674,4167,309
19197,10091,410,4087,1527
19069,6626,275,3073,197
19173,4268,152,2043,6
19099,23703,2448,10433,576
19005,10567,580,4963,63
19047,12265,520,5126,1467
19029,19621,580,9275,286
19015,19846,1434,9061,360
19157,15975,1225,7306,187
19105,10978,1269,4507,648
19067,12161,626,5359,805
19179,21519,1395,9777,468
,8447,250,4254,0
19159,3888,174,1835,1
19001,4302,213,1932,288
19119,5637,337,2639,27
19143,2889,136,1312,129
19089,3843,331,1710,106
19195,3185,166,1511,0
19053,5573,250,2567,105
19135,5951,241,2735,213
19161,6285,307,2967,29
19035,8683,412,4037,190
19097,14506,865,6749,154
19085,6435,598,2814,202
19177,2816,171,1280,84
19007,8343,410,3712,420
19093,3393,177,1381,455
19107,3014,171,1371,100
19055,8719,645,3714,665
19185,6060,253,2689,338
19071,3111,131,1450,78
19189,7534,335,3380,417
19095,10905,529,4933,494
19133,3753,360,1645,116
19037,5456,297,2433,298
