ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,553669,27648,255710,14989
19021,19065,1052,7142,3632
19027,21652,741,9759,1220
19049,95010,4528,44520,2810
19181,36541,1587,17000,1127
19013,148244,5940,67859,6384
19033,54926,2572,25100,2080
19169,105989,4945,49328,3159
19195,3551,67,1743,1
19083,14222,441,6180,1351
19189,8769,293,3973,513
19081,6874,116,3009,741
19155,100717,5412,44702,4980
19139,34551,1362,13941,5190
19009,4201,48,2026,101
19005,11810,407,5634,126
19099,30109,1049,14032,1202
19103,191890,6822,90418,4550
19017,27200,1002,12392,1418
19065,21713,590,10078,958
19061,126729,4021,60268,2370
19041,17412,656,8254,313
19063,10414,615,4633,408
19147,7047,204,3326,166
19193,97945,5495,43907,5057
19003,3622,87,1664,16
19173,4645,121,2233,30
19175,10597,483,4931,347
19067,14401,432,6369,1217
19035,10087,322,4693,372
19123,16260,655,7484,589
19183,15897,677,7307,592
19179,26789,1215,12207,1038
19073,9683,269,4410,523
19113,262779,10155,122196,9507
19019,13471,522,6295,367
19101,16641,753,7446,1003
19127,32493,1439,13999,3191
19109,12892,416,5959,517
19187,37812,1737,17204,1430
19037,6103,140,2805,362
19011,16125,495,7575,479
19141,11341,345,5301,390
19045,37272,1844,16823,1698
19131,9319,236,4435,188
19029,21707,609,10200,467
19135,7027,186,3221,366
19059,16258,670,7653,280
19159,4400,131,2103,6
19163,176802,8028,80455,6643
19125,29626,1121,12117,4122
19149,17859,594,7117,2995
19015,23954,721,11352,603
19091,8772,302,3943,432
19151,4093,109,1901,178
19055,10480,464,4615,822
19031,13069,324,6240,298
19167,23731,811,10065,2781
19143,3284,52,1518,197
19161,6664,135,3220,67
19069,7451,229,3472,270
19133,4622,122,2143,230
19075,10116,492,4559,498
19171,18111,681,8180,984
19137,7591,417,3275,599
19111,27965,1291,12141,2159
19197,11917,339,4904,1791
19047,14521,584,6151,1608
19077,9348,277,4366,316
19093,3835,123,1594,527
19051,8472,243,3243,1689
19025,8527,105,4091,208
19145,15259,806,6785,855
19057,39540,2176,18273,762
19007,9453,433,4212,506
19157,19380,639,9187,464
19191,18208,725,8224,1070
19023,7950,107,3817,190
19087,17478,692,7360,2018
19053,6159,204,2864,132
19097,16922,500,8067,303
19001,4870,162,2205,344
19079,14824,355,6945,418
19095,12275,240,5682,651
19119,6252,147,2994,107
19043,12936,256,5983,669
19117,7563,211,3410,441
19039,10312,395,4259,1387
19107,3376,70,1604,100
19165,12174,365,5801,171
19185,6524,201,2904,405
19115,8167,175,3219,1561
19121,14486,391,6918,182
19177,3044,71,1420,131
19085,7242,353,3302,270
,10381,240,5210,1
19105,13833,385,6208,989
19129,12554,599,5878,167
19089,4737,190,2172,220
19071,3412,100,1607,98
