County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,248077,49991,45219,524,468,56
Linn,106260,19099,17432,305,278,27
Scott,78355,16744,15321,196,184,12
Johnson,72178,12829,11980,68,63,5
Black Hawk,64770,14699,13546,275,259,16
Woodbury,54346,13470,12813,205,191,14
Dubuque,52564,12126,11178,187,176,11
Story,50780,9276,8615,43,38,5
Dallas,48890,9788,8800,85,74,11
Pottawattamie,43568,9597,8868,139,124,15
Warren,25287,4949,4373,67,63,4
Cerro Gordo,22047,4922,4584,79,67,12
Clinton,20157,4864,4440,80,72,8
Webster,19988,4845,4612,83,70,13
Muscatine,19475,4098,3794,87,78,9
Des Moines,19348,4160,3772,55,48,7
Marshall,19267,4528,4206,69,63,6
Jasper,16288,3571,3160,65,61,4
Wapello,16146,3808,3373,105,102,3
Sioux,14570,4696,4489,67,64,3
Lee,14567,3462,3127,47,35,12
Marion,14230,3309,3003,66,58,8
Buena Vista,13847,4042,3897,36,33,3
Boone,12412,2364,2150,28,26,2
Plymouth,12243,3612,3428,75,67,8
Benton,11481,2280,2040,53,43,10
Bremer,11118,2611,2410,53,47,6
Washington,10803,2346,2142,41,39,2
Carroll,10489,2625,2498,47,39,8
Henry,10061,2762,2611,35,35,0
Mahaska,9514,2110,1878,44,39,5
Dickinson,9482,1969,1816,37,31,6
Winneshiek,9184,1757,1529,26,22,4
Jones,9098,2827,2652,54,50,4
Pending Investigation,8807,1138,895,0,0,0
Buchanan,8573,1720,1570,26,24,2
Fayette,8434,1747,1586,31,28,3
Jackson,8225,2059,1882,37,34,3
Cedar,8207,1631,1501,20,19,1
Crawford,8134,2450,2260,35,31,4
Poweshiek,8090,1450,1308,29,27,2
Tama,7777,1977,1812,63,61,2
Clay,7628,1809,1643,25,20,5
Hardin,7599,1650,1520,34,31,3
Wright,7390,1704,1611,31,26,5
Iowa,7377,1354,1229,23,21,2
Delaware,7249,1837,1690,38,33,5
Kossuth,7173,1926,1705,52,46,6
Mills,7143,1457,1349,20,17,3
Jefferson,7033,1263,1184,31,27,4
Floyd,7003,1461,1349,38,30,8
Madison,6956,1362,1191,16,12,4
Hamilton,6846,1705,1559,38,37,1
Butler,6433,1562,1453,30,27,3
Clayton,6359,1577,1479,53,45,8
O'Brien,6116,1766,1639,58,54,4
Union,6080,1168,1061,31,26,5
Harrison,5987,1646,1486,68,64,4
Cass,5795,1231,1085,47,45,2
Page,5594,1625,1503,17,16,1
Winnebago,5560,1272,1161,30,25,5
Allamakee,5511,1375,1242,41,35,6
Appanoose,5478,1192,1060,46,43,3
Cherokee,5444,1423,1349,35,29,6
Hancock,5393,1358,1273,27,22,5
Grundy,5308,1286,1191,30,25,5
Guthrie,5106,1071,1002,28,23,5
Mitchell,5030,1185,1134,40,38,2
Louisa,4958,1195,1113,41,34,7
Calhoun,4906,1266,1213,9,9,0
Chickasaw,4888,1173,1113,13,12,1
Sac,4876,1154,1095,17,17,0
Shelby,4862,1125,989,32,29,3
Franklin,4715,1081,998,19,18,1
Emmet,4617,1133,1059,39,37,2
Clarke,4441,906,769,20,20,0
Humboldt,4371,1109,1021,22,19,3
Lyon,4229,1423,1325,40,36,4
Palo Alto,4098,978,889,19,17,2
Howard,4092,964,812,20,16,4
Montgomery,4084,954,823,36,34,2
Greene,3770,717,683,10,10,0
Keokuk,3762,899,824,29,29,0
Lucas,3457,689,640,18,15,3
Monona,3447,752,663,23,22,1
Worth,3358,648,606,4,3,1
Adair,3291,770,665,25,19,6
Decatur,3231,537,487,8,8,0
Pocahontas,3221,804,757,18,18,0
Monroe,3077,870,790,27,21,6
Davis,3002,742,674,23,22,1
Ida,2976,799,706,32,30,2
Van Buren,2475,529,482,17,14,3
Fremont,2437,540,505,9,7,2
Audubon,2375,453,402,9,8,1
Taylor,2341,627,589,11,9,2
Osceola,2223,660,626,13,11,2
Ringgold,2195,490,438,16,15,1
Wayne,2016,438,394,21,17,4
Adams,1451,317,295,3,3,0
