County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,51036,174451,8032,408003
Linn,20176,90126,7069,206173
Story,12647,33356,1795,80246
Johnson,12107,71357,3250,157659
Scott,10041,62233,4490,140293
Dallas,9312,29622,1594,68922
Black Hawk,8129,53543,4940,120446
Pottawattamie,7279,33574,4464,79843
Dubuque,6097,50113,1463,107599
Woodbury,4770,35260,4045,78930
Marshall,3459,8909,2547,23750
Cerro Gordo,3282,20100,1253,44801
Warren,3106,13163,617,29838
Clinton,2959,12023,1113,28199
Jasper,2544,10290,576,23506
Webster,2513,13532,912,30715
Des Moines,2392,14578,589,32155
Muscatine,2365,10218,4171,27092
Lee,1632,9454,1245,22048
Boone,1611,8860,349,19611
Bremer,1597,10056,1022,22704
Henry,1479,5477,1119,13602
Marion,1478,9858,3758,25087
Wapello,1466,9673,457,21370
Tama,1388,6070,944,14404
Carroll,1379,7743,865,17842
Winneshiek,1307,6003,730,14074
Jones,1260,4507,631,10952
Poweshiek,1236,7264,187,15896
Page,1234,5381,627,12649
Sioux,1194,8236,2423,20104
Washington,1187,5521,403,12648
Mahaska,1163,5855,304,13227
Madison,1059,5562,110,12320
Jefferson,1000,5837,803,13486
Fayette,951,8816,843,19449
Jackson,927,6660,146,14382
Benton,878,6298,377,13854
Floyd,833,5144,780,11912
Buena Vista,824,5513,3168,15111
Hamilton,766,5762,340,12766
Mills,761,4515,97,9904
Emmet,703,4132,309,9376
Dickinson,701,6522,158,13918
Cedar,643,5294,224,11434
Delaware,636,3705,656,8686
Union,634,3939,164,8569
Guthrie,627,3482,192,7787
Clay,615,7187,101,15051
Grundy,614,3803,225,8451
Harrison,600,2814,202,6435
Hardin,599,5184,1195,12204
Iowa,599,4867,489,10833
Cass,592,9255,287,19589
Allamakee,581,4963,58,10561
Kossuth,557,5055,380,11098
Buchanan,531,5352,214,11450
Crawford,531,5110,1467,12244
Calhoun,523,3592,130,7856
Plymouth,516,6083,2806,15526
Clarke,482,3453,1300,8687
O'Brien,479,4474,245,9682
Clayton,471,5476,604,12054
Wright,455,4017,1520,9989
Butler,449,3390,113,7350
Lucas,448,2771,330,6396
Cherokee,431,4015,190,8657
Montgomery,424,2673,515,6314
Mitchell,415,3817,82,8145
Appanoose,414,3700,420,8322
Shelby,395,5092,66,10694
Hancock,388,2513,576,5991
Greene,382,3826,408,8514
Lyon,365,2610,27,5607
Monona,360,1645,105,3742
Humboldt,354,3481,324,7781
Winnebago,336,3361,415,7495
Howard,331,1710,106,3843
Louisa,325,2816,1493,7426
Sac,308,2967,28,6284
Chickasaw,297,2433,298,5456
Franklin,288,3056,197,6605
Pocahontas,265,1556,130,3510
Wayne,262,2682,338,6053
Decatur,260,2557,105,5561
Palo Alto,251,2958,99,6302
Out of State,250,4254,0,8442
Monroe,242,2729,212,5939
Davis,236,2900,1607,7668
Worth,227,1446,0,3116
Adair,213,1932,288,4302
Ringgold,186,1825,1,3878
Ida,177,1381,452,3390
Keokuk,171,1371,100,3014
Van Buren,171,1280,84,2816
Taylor,169,2019,4,4238
Osceola,136,1312,129,2889
Adams,134,1535,1,3369
Fremont,133,1445,73,3098
Audubon,126,1815,101,3854
