County,Series Initiated,Series Completed
Polk,31579,8010
Johnson,13158,8224
Linn,10843,4654
Black Hawk,7050,2573
Scott,6208,2619
Pottawattamie,5628,2448
Story,4698,1918
Dubuque,4630,2843
Woodbury,4448,2178
Cerro Gordo,3636,1363
Dallas,2736,740
Webster,1858,829
Bremer,1770,859
Jasper,1565,487
Lee,1477,455
Warren,1457,417
Clay,1413,383
Wapello,1171,290
Boone,1161,467
Carroll,1027,734
Clinton,889,589
Des Moines,880,1091
Sioux,865,434
Marshall,729,348
Muscatine,726,369
Winneshiek,631,436
Hardin,621,223
Delaware,604,186
Benton,581,276
Mills,574,153
O'Brien,521,337
Cedar,498,126
Jones,479,161
Washington,450,139
Page,447,432
Buchanan,440,316
Dickinson,424,376
Crawford,416,191
Wright,409,220
Calhoun,405,164
Buena Vista,396,297
Tama,395,99
Marion,382,691
Grundy,376,174
Poweshiek,376,89
Henry,356,363
Fayette,355,227
Clayton,353,169
Shelby,339,310
Allamakee,338,109
Montgomery,336,194
Jefferson,335,244
Jackson,328,242
Palo Alto,323,253
Appanoose,319,89
Winnebago,316,49
Plymouth,312,132
Hamilton,311,217
Cass,302,328
Monona,280,74
Union,274,224
Wayne,269,147
Mahaska,266,151
Cherokee,265,370
Harrison,257,107
Monroe,227,51
Guthrie,226,131
Iowa,223,232
Madison,213,184
Ida,212,51
Audubon,211,118
Kossuth,205,150
Ringgold,204,133
Humboldt,197,205
Hancock,192,162
Keokuk,177,53
Franklin,176,141
Greene,173,138
Mitchell,157,174
Taylor,154,28
Worth,150,30
Butler,149,96
Van Buren,146,39
Lucas,146,58
Clarke,142,112
Decatur,137,99
Howard,136,153
Lyon,135,103
Floyd,132,223
Sac,126,131
Louisa,125,29
Chickasaw,121,136
Adams,109,34
Osceola,104,67
Emmet,94,183
Fremont,86,68
Davis,81,90
Pocahontas,70,82
Adair,69,92
.,0,0
