Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1593786635404455,American Indian or Alaska Native
Asian,0.35473555320438907,Asian
Black,0.18173373404629016,Black
Native Hawaiian or Other Pacific Islander,0.3218151540383014,Native Hawaiian or Other Pacific Islander
Other Race,0.48793253852864207,Other Race
White,0.40397085775843979,White
