County,Number of Doses
Polk,542954
Linn,251232
Johnson,182913
Scott,154301
Black Hawk,130633
Dubuque,106812
Story,104560
Dallas,102951
Woodbury,87865
Pottawattamie,81842
Warren,51249
Cerro Gordo,44557
Clinton,40754
Marshall,40397
Muscatine,40049
Jasper,35724
Webster,34319
Des Moines,33192
Boone,28785
Marion,27875
Wapello,27041
Lee,26813
Bremer,25278
Benton,24721
Sioux,23485
Winneshiek,20944
Washington,20897
Carroll,20621
Plymouth,20558
Jones,20391
Buchanan,19260
Cedar,18808
Buena Vista,18619
Poweshiek,18450
Fayette,18107
Jackson,17719
Dickinson,17351
Iowa,17045
Henry,16955
Tama,16857
Mahaska,15726
Hamilton,15451
Hardin,15374
Delaware,15094
Madison,14869
Jefferson,14712
Butler,14397
Clay,14313
Clayton,14104
Floyd,14027
Crawford,13997
Page,13330
Kossuth,13305
Grundy,12877
Mills,12825
Cass,12711
Wright,11657
O'Brien,11618
Shelby,11535
Harrison,11517
Allamakee,11449
Guthrie,10675
Union,10639
Chickasaw,10562
Cherokee,10208
Calhoun,9655
Appanoose,9600
Montgomery,9039
Franklin,8992
Winnebago,8988
Mitchell,8861
Louisa,8726
Hancock,8707
Sac,8549
Greene,8435
Clarke,8062
Humboldt,7978
Emmet,7934
Keokuk,7888
Howard,7707
Palo Alto,7655
Monona,7654
Lyon,7146
Worth,6462
Lucas,6368
Adair,5937
Pocahontas,5914
Monroe,5900
Davis,5572
Audubon,5555
Ida,5404
Fremont,5327
Decatur,5243
Taylor,4882
Van Buren,4817
Osceola,4543
Wayne,4523
Ringgold,4376
Adams,3291
.,71
