RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5152919142893866,239078,13498
19161,0.4250591502931797,3788,344
19027,0.5025043392015869,9109,1024
19013,0.47565306184655717,56946,5473
19017,0.4878700821961535,11159,1068
19019,0.4305076741440378,8473,643
19103,0.5860592827841736,83621,4956
19195,0.41674569841484895,2882,194
19033,0.5006360424028269,19497,1755
19081,0.4026340545625588,3808,472
19169,0.51302037748283,47012,2811
19139,0.4775454715919745,16205,4169
19165,0.48044351318316749,5271,232
19009,0.49181222707423585,2548,155
19191,0.51528187684458,9402,899
19065,0.4408651399491094,8060,603
19061,0.5239181593036758,49178,1805
19147,0.4148098131892865,3452,234
19183,0.45640792169360347,9304,721
19003,0.4308717379233759,1490,62
19173,0.37706257147524915,2231,77
19041,0.4264485514485514,6423,407
19125,0.41409797612245516,11621,2149
19123,0.3416157501697217,6725,823
19157,0.47470817120622568,8317,467
19099,0.4631168481914751,15613,1608
19073,0.4654590459045905,3616,521
19113,0.5308328848817411,111750,8593
19049,0.5157030806929687,45745,2449
19193,0.4021550428195952,36794,4671
19171,0.483624065503738,7283,868
19109,0.44001890231553367,5951,567
19187,0.4537377450980392,14876,1415
19011,0.45997270423084427,10884,912
19045,0.41620538887333349,17846,1478
19067,0.4283979030814474,6132,569
19189,0.43142746764535447,3882,585
19131,0.39863971282826379,4005,215
19029,0.4737457151760673,5716,365
19135,0.3762813027118204,2574,326
19127,0.5024257664660011,17078,2702
19063,0.4109470026064292,3470,314
19159,0.4215365753984471,2023,40
19115,0.4025373810602628,3384,1058
19163,0.42181528017901856,67567,5383
19149,0.4182388688088335,8406,2124
19059,0.47566346042415116,7931,278
19093,0.3935860058309038,2286,414
19015,0.520927041244187,12899,767
19141,0.41525485348651205,5179,532
19075,0.49918247220405495,5609,497
19091,0.4025946850805608,3469,379
19151,0.4305786372563831,2625,225
19055,0.4325436482276174,6511,847
19101,0.3873189396009839,6365,721
19005,0.3900781763717396,5108,231
19181,0.46702677495822489,22649,1387
19025,0.48200248241621848,4309,351
19083,0.44894930547310937,6630,933
19069,0.42681231380337639,3917,381
19023,0.4784957407022647,6461,448
19133,0.4253047011027278,3422,242
19085,0.3853655064417396,5050,364
19137,0.4384390440657457,3816,532
19111,0.38630894019074787,11397,1605
19037,0.43911841112880248,4526,714
19197,0.4622671549116383,4885,922
19179,0.38619920501015189,11086,2419
19121,0.427653323540213,6639,348
19143,0.3798254447801276,2039,224
19051,0.292,2462,166
19047,0.41730083234244949,5693,1326
19145,0.4198053882306216,5802,540
19043,0.39637586187247139,6371,585
19057,0.3907665460517874,14316,911
19007,0.3714791566071141,4189,427
19107,0.370778840523131,3493,306
19077,0.47693890915894845,4754,344
19129,0.3915547024952015,5629,287
19021,0.49184505606523956,6637,3013
19087,0.42432594968427386,6852,1615
19079,0.5059229675759832,6790,684
19035,0.4355140186915888,4513,380
19001,0.40813758389261747,2594,325
19095,0.5071675729115176,7495,713
19167,0.3351025677808062,9971,1709
19089,0.41035160515396376,3281,477
19119,0.2944279030199915,3282,179
19185,0.3369042074212079,1991,179
19039,0.4212879191059074,3242,716
19155,0.4051455914855267,35573,2189
19117,0.368953488372093,2758,415
19031,0.485317012938208,8367,673
19175,0.4091169022138714,4729,279
19071,0.3679597701149425,2363,198
19053,0.3176620076238882,2265,235
19177,0.3268029528676888,2083,219
19097,0.431760893050054,8014,379
19105,0.48508292635752628,8981,1051
,,38,5
