RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,536900,25161,248483,14773
19059,17222,569,8169,315
19161,8439,284,3886,383
19027,20426,577,9383,1083
19013,129031,5242,59033,5723
19017,25060,821,11558,1123
19019,19008,685,8825,673
19103,181635,5425,85487,5236
19195,6384,196,2995,198
19033,44106,1739,20258,1851
19081,8598,274,3915,494
19169,103632,4029,48283,3037
19139,39570,1573,16843,4311
19165,11435,328,5423,261
19009,5506,156,2593,164
19191,20768,568,9638,924
19065,17957,673,8327,630
19061,105983,2967,50546,1924
19147,7585,250,3543,249
19183,20699,755,9592,760
19003,3264,123,1534,73
19173,4843,148,2305,85
19041,14186,493,6640,413
19125,27558,1145,12071,2271
19123,15547,677,7006,858
19157,18255,657,8554,490
19099,35393,1414,16142,1695
19073,8340,328,3733,546
19113,249090,8569,115704,9113
19049,101794,4212,47451,2680
19193,86725,4549,38716,4744
19171,16607,709,7496,906
19109,13199,434,6084,597
19187,33925,1439,15485,1516
19011,24430,893,11288,961
19141,11496,364,5282,568
19045,40305,1658,18542,1563
19067,13867,459,6396,616
19189,8903,298,4004,597
19131,8763,306,4113,231
19029,12602,389,5906,401
19135,5863,188,2656,363
19127,39870,1684,17632,2922
19063,7867,425,3557,328
19159,4329,115,2084,46
19163,152603,6690,70119,5675
19115,8560,343,3557,1103
19149,20316,735,8718,2145
19093,5331,197,2348,438
19015,28490,981,13334,841
19075,12759,502,5850,557
19091,7871,290,3590,401
19151,5843,175,2709,250
19055,14927,499,6768,892
19101,14566,655,6581,749
19005,11329,444,5323,239
19181,50687,2176,23481,1549
19025,9573,312,4437,387
19083,15217,559,6823,1012
19069,8864,354,4052,406
19023,14274,483,6652,487
19133,7558,251,3519,269
19085,11371,607,5191,382
19137,8926,442,3967,550
19111,26464,1065,11827,1745
19037,10452,344,4672,764
19197,11534,409,5075,975
19179,26691,1152,11520,2499
19121,14720,547,6893,387
19095,16882,493,7818,753
19143,4500,115,2071,243
19051,5510,215,2555,185
19047,13787,586,5914,1373
19155,80513,4042,37110,2251
19145,13195,612,6016,551
19043,13992,379,6507,599
19057,32761,1635,15067,992
19007,9513,423,4317,456
19107,7801,254,3611,325
19077,10574,409,4890,385
19129,12488,547,5815,311
19021,18258,1035,6981,3261
19087,16704,720,7139,1706
19053,5190,219,2356,259
19097,17497,545,8268,416
19079,15307,504,7040,723
19035,10082,387,4644,407
19001,5884,251,2647,339
19175,10554,449,4899,307
19167,23224,867,10288,1781
19089,7607,327,3383,514
19119,7076,167,3347,215
19185,4453,162,2048,195
19039,7949,372,3416,745
19117,6302,229,2820,433
19031,18622,552,8682,706
19071,5238,182,2428,200
19177,4718,187,2145,241
19105,20166,607,9223,1113
,70,6,30,4
