ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,523081,21250,244622,12983
19021,17796,641,6736,3584
19027,20618,476,9427,1113
19049,89565,3045,42709,2472
19181,35037,1120,16533,1011
19013,141151,4277,65247,6166
19033,52095,1840,24119,1946
19169,101813,4186,47802,2808
19195,3466,40,1714,1
19083,13671,207,6033,1343
19189,8374,203,3825,503
19155,95601,3810,43006,4858
19139,32873,1018,13388,4956
19009,4123,22,2000,101
19005,11394,286,5493,115
19099,28845,709,13595,1147
19103,185647,5593,88089,4267
19017,25867,780,11921,1251
19065,21108,443,9862,926
19061,121949,2855,58547,2196
19041,16711,474,8000,293
19147,6829,152,3250,151
19193,91667,3800,41695,4899
19003,3555,73,1641,10
19173,4487,72,2183,20
19175,10030,310,4751,311
19067,13707,248,6193,1056
19063,10113,541,4534,384
19035,9608,207,4556,282
19123,15496,444,7217,571
19183,15091,467,7035,549
19179,25247,767,11717,925
19073,9418,184,4327,506
19113,251120,7145,118229,8777
19019,12755,253,6082,339
19101,15846,565,7157,973
19127,30443,992,13338,2891
19109,12434,320,5793,489
19187,35864,1286,16493,1330
19037,5948,102,2755,343
19011,15572,364,7370,464
19045,34908,1259,15996,1587
19081,6724,74,2965,719
19131,8943,145,4311,156
19029,21066,433,9989,429
19135,6730,139,3131,297
19059,15527,443,7415,255
19159,4230,69,2050,6
19163,168588,6243,77430,6251
19125,28281,711,11697,4035
19149,17168,365,6898,2965
19015,23028,555,10977,575
19141,10912,238,5157,350
19091,8453,214,3850,390
19151,3954,64,1867,152
19055,9975,200,4518,775
19031,12665,221,6097,281
19167,22653,489,9746,2663
19143,3169,36,1479,177
19161,6571,90,3206,50
19069,7201,121,3409,252
19133,4470,72,2102,210
19075,9629,285,4466,400
19171,17699,535,8051,984
19137,7166,284,3142,579
19111,26248,826,11626,1932
19197,11435,242,4747,1718
19047,13796,316,5932,1592
19077,9017,175,4278,267
19093,3723,76,1575,500
19051,8170,159,3147,1659
19025,8455,78,4081,182
19145,14591,598,6558,845
19057,37255,1641,17425,719
19007,9056,254,4116,478
19157,18680,450,8945,430
19191,17334,504,7904,1053
19023,7856,84,3789,174
19087,16629,440,7102,1934
19001,4740,119,2168,332
19079,14345,221,6779,409
19095,12017,193,5591,618
19119,6060,106,2933,77
19043,12735,172,5927,664
19117,7292,154,3323,402
19039,9826,236,4105,1365
19107,3299,33,1584,100
19165,11674,229,5631,141
19185,6391,163,2869,382
19115,7992,147,3162,1532
19053,5979,148,2806,123
19177,2997,74,1404,113
19121,14014,240,6770,161
19085,7023,239,3260,251
,10375,246,5211,1
19105,13283,235,6048,900
19097,16258,266,7873,259
19129,12138,484,5738,150
19089,4528,103,2128,186
19071,3345,61,1593,98
