ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,531401,21603,248432,13330
19021,18128,633,6898,3601
19027,20863,525,9513,1135
19049,90915,3206,43276,2537
19181,35397,1186,16664,1049
19013,143089,4459,66087,6250
19033,52878,1870,24466,2001
19169,102984,4217,48338,2901
19195,3493,47,1724,1
19083,13804,242,6078,1347
19189,8478,241,3857,507
19155,96862,3919,43558,4908
19139,33304,1052,13560,5011
19009,4138,37,2000,101
19005,11464,292,5523,119
19099,29196,701,13769,1161
19103,187328,5667,88849,4331
19017,26202,778,12070,1286
19065,21257,481,9913,938
19061,123158,3075,59015,2250
19041,16884,486,8072,310
19147,6903,171,3272,161
19193,93345,4067,42365,4973
19003,3569,73,1648,10
19173,4530,83,2197,24
19175,10168,333,4805,320
19067,13875,267,6243,1105
19063,10190,554,4565,386
19035,9705,212,4597,293
19123,15710,487,7299,576
19183,15292,512,7108,554
19179,25682,794,11896,977
19073,9482,199,4349,512
19113,253966,7256,119489,8988
19019,12928,312,6140,343
19101,16072,588,7253,983
19127,31043,1007,13592,2977
19109,12562,335,5844,502
19187,36421,1420,16678,1367
19037,5974,110,2763,346
19011,15680,351,7428,465
19045,35808,1596,16261,1613
19081,6761,74,2984,719
19131,9054,152,4356,170
19029,21206,458,10039,438
19135,6810,164,3154,306
19059,15728,488,7490,260
19159,4274,81,2064,6
19163,170749,6379,78384,6373
19125,28583,784,11806,4043
19149,17357,422,6956,2983
19015,23309,542,11122,580
19141,11038,257,5207,360
19091,8538,223,3880,406
19151,3987,66,1879,159
19055,10067,208,4556,782
19031,12762,233,6136,290
19167,22914,520,9843,2700
19143,3207,38,1495,181
19161,6589,88,3215,52
19069,7262,149,3423,258
19133,4499,81,2108,218
19075,9752,328,4492,428
19171,17788,531,8092,984
19137,7260,306,3174,584
19111,26652,858,11788,1982
19197,11539,282,4772,1731
19047,13948,349,5993,1590
19077,9104,176,4315,279
19093,3754,87,1582,506
19051,8241,171,3175,1667
19025,8478,88,4084,190
19145,14739,617,6621,850
19057,37805,1745,17640,728
19007,9134,273,4143,483
19157,18858,467,9022,440
19191,17576,508,8018,1063
19023,7875,86,3795,177
19087,16829,493,7163,1958
19001,4771,116,2184,334
19079,14478,230,6839,411
19095,12111,202,5631,627
19119,6116,116,2955,79
19043,12772,189,5935,669
19117,7389,160,3358,424
19039,9940,257,4151,1365
19107,3322,32,1596,100
19165,11809,264,5678,149
19185,6422,162,2881,389
19115,8027,142,3177,1539
19053,6036,169,2824,123
19177,3024,76,1410,126
19121,14127,280,6804,162
19085,7052,246,3268,257
,10378,244,5211,1
19105,13411,247,6100,915
19097,16435,333,7928,263
19129,12247,492,5787,152
19089,4568,119,2138,189
19071,3363,65,1600,98
