County,Series Initiated,Series Completed
Polk,42314,18550
Johnson,17656,12893
Linn,14704,8739
Scott,12145,4989
Black Hawk,10019,4153
Dubuque,7303,4593
Pottawattamie,7268,4718
Story,5277,3746
Dallas,4798,2001
Woodbury,4495,3681
Cerro Gordo,4339,2288
Webster,2892,1296
Jasper,2494,1436
Warren,2494,1272
Lee,2349,979
Des Moines,2275,1391
Plymouth,2012,353
Sioux,1968,994
Clinton,1864,1035
Wapello,1825,1049
Bremer,1823,1762
Clay,1726,1126
Boone,1593,1020
Marion,1571,959
Carroll,1502,1299
Kossuth,1326,294
Marshall,1308,835
Jones,1209,349
Muscatine,1202,845
Benton,1157,599
Jackson,1123,403
Tama,1103,300
Cedar,1057,459
Winneshiek,1039,636
Hardin,940,520
Iowa,937,347
Poweshiek,937,311
Clayton,908,474
Harrison,907,177
Crawford,902,390
Henry,866,448
Mills,863,447
Delaware,862,489
Allamakee,855,272
Fayette,845,402
Page,840,588
Dickinson,823,540
Butler,809,148
Shelby,808,394
Jefferson,808,427
Buena Vista,794,520
Mahaska,776,284
Madison,759,265
Calhoun,757,313
O'Brien,747,619
Floyd,713,247
Hamilton,661,503
Grundy,659,293
Sac,658,210
Guthrie,655,244
Franklin,646,175
.,614,3219
Winnebago,611,181
Cass,601,497
Union,595,381
Washington,567,263
Lyon,566,175
Taylor,565,95
Monroe,561,147
Ringgold,560,193
Louisa,558,93
Buchanan,553,609
Wayne,544,210
Palo Alto,519,401
Cherokee,509,484
Appanoose,503,230
Montgomery,500,314
Davis,491,154
Mitchell,491,220
Worth,487,67
Wright,477,433
Audubon,470,241
Lucas,465,159
Humboldt,449,302
Monona,444,213
Emmet,428,238
Decatur,424,167
Ida,410,177
Clarke,410,200
Osceola,400,137
Fremont,389,92
Howard,379,180
Chickasaw,378,191
Adams,339,113
Adair,328,113
Pocahontas,279,127
Greene,257,242
Van Buren,253,82
Keokuk,238,198
Hancock,194,302
