County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,227394,43999,37582,426,385,41
Linn,98082,17339,15456,264,244,20
Scott,72480,14975,12951,155,147,8
Johnson,66954,11704,10306,49,45,4
Black Hawk,58855,13304,11804,225,212,13
Woodbury,50999,12758,11407,173,160,13
Dubuque,49041,11092,9931,142,134,8
Story,46965,8415,7491,32,28,4
Dallas,44937,8531,7165,67,57,10
Pottawattamie,40747,8751,7462,104,93,11
Warren,23100,4157,3315,37,35,2
Cerro Gordo,20407,4528,4000,64,53,11
Webster,18910,4596,4065,67,60,7
Clinton,18427,4376,3761,61,55,6
Muscatine,18069,3758,3261,75,68,7
Des Moines,17805,3718,3250,38,35,3
Marshall,17415,4194,3802,59,55,4
Jasper,14964,3072,2542,55,53,2
Wapello,14139,3300,2794,93,91,2
Sioux,13638,4474,4046,48,47,1
Lee,13380,3066,2566,28,23,5
Buena Vista,13132,3852,3381,28,25,3
Marion,12903,2926,2327,51,44,7
Plymouth,11549,3453,3084,65,59,6
Boone,11331,2095,1659,15,13,2
Benton,10571,2050,1863,41,37,4
Washington,9929,2075,1625,30,29,1
Carroll,9837,2492,2165,32,26,6
Bremer,9787,2359,2137,47,44,3
Pending Investigation,9740,855,413,0,0,0
Henry,9400,2582,2306,29,29,0
Dickinson,8905,1811,1590,21,19,2
Mahaska,8747,1852,1444,35,32,3
Jones,8401,2667,2468,49,48,1
Winneshiek,8256,1473,1197,19,17,2
Buchanan,7862,1541,1320,19,18,1
Crawford,7615,2252,1931,22,19,3
Fayette,7611,1525,1185,22,20,2
Cedar,7531,1457,1243,19,18,1
Jackson,7526,1860,1666,31,30,1
Tama,7138,1828,1591,57,55,2
Poweshiek,7100,1284,1094,24,22,2
Clay,7066,1626,1416,17,13,4
Hardin,7017,1518,1335,29,26,3
Wright,6930,1588,1413,22,20,2
Iowa,6813,1194,1052,22,21,1
Mills,6735,1339,1192,15,14,1
Delaware,6726,1689,1532,35,31,4
Kossuth,6541,1644,1414,35,34,1
Floyd,6505,1345,1179,36,28,8
Jefferson,6356,1163,847,23,21,2
Hamilton,6341,1541,1310,26,26,0
Madison,6210,1105,835,9,8,1
Clayton,5870,1478,1255,47,40,7
Butler,5828,1405,1152,23,20,3
O'Brien,5701,1660,1458,54,50,4
Union,5668,1062,933,20,20,0
Harrison,5547,1512,1230,60,57,3
Cass,5302,1102,899,41,39,2
Page,5185,1420,1289,14,13,1
Winnebago,5140,1157,1013,29,24,5
Cherokee,5093,1333,1080,25,23,2
Allamakee,5059,1241,1009,26,22,4
Appanoose,5003,1056,875,37,37,0
Hancock,4987,1258,1009,24,19,5
Grundy,4808,1167,950,21,16,5
Mitchell,4783,1116,907,33,33,0
Guthrie,4782,1005,842,23,18,5
Calhoun,4649,1206,1133,9,9,0
Louisa,4618,1123,943,27,23,4
Sac,4552,1081,972,14,14,0
Chickasaw,4480,1088,962,11,10,1
Shelby,4420,993,845,26,26,0
Franklin,4331,981,802,17,16,1
Emmet,4287,1080,880,29,28,1
Humboldt,4040,1022,859,18,15,3
Clarke,3928,741,552,7,7,0
Lyon,3897,1312,1142,30,27,3
Palo Alto,3819,879,749,9,9,0
Howard,3674,796,614,18,14,4
Montgomery,3632,814,614,22,21,1
Greene,3564,668,591,7,7,0
Keokuk,3442,827,727,25,25,0
Lucas,3177,637,399,8,8,0
Monona,3157,599,505,16,15,1
Worth,3100,578,438,3,2,1
Pocahontas,3056,762,635,11,11,0
Adair,3041,660,503,20,16,4
Decatur,2842,464,378,4,4,0
Monroe,2801,772,507,18,16,2
Ida,2723,726,634,30,29,1
Davis,2701,678,570,20,19,1
Fremont,2265,485,430,5,3,2
Van Buren,2262,480,415,12,11,1
Taylor,2177,581,499,9,7,2
Audubon,2129,401,326,8,8,0
Osceola,2081,628,588,9,7,2
Ringgold,1992,402,322,9,8,1
Wayne,1890,411,330,21,17,4
Adams,1324,288,213,3,3,0
