County,Series Initiated,Series Completed
Polk,32010,10583
Johnson,12223,9657
Linn,11721,5507
Black Hawk,7448,2754
Scott,7047,2977
Pottawattamie,5184,3355
Story,4960,2107
Woodbury,4510,2278
Dubuque,4475,3282
Cerro Gordo,3489,1511
Dallas,3253,954
Webster,2201,945
Bremer,1827,988
Jasper,1804,748
Lee,1719,581
Clay,1542,473
Warren,1504,672
Wapello,1206,442
Boone,1170,561
Carroll,1075,748
Des Moines,985,1091
Clinton,867,666
Sioux,837,570
Marshall,775,425
Winneshiek,642,452
Muscatine,616,489
Plymouth,605,134
Mills,601,214
Benton,563,377
Cedar,561,183
O'Brien,559,376
Delaware,558,278
Hardin,536,363
Tama,536,101
Clayton,469,232
Jones,461,283
Buena Vista,452,329
Shelby,441,310
Washington,435,162
Mahaska,433,151
Dickinson,424,376
Buchanan,423,356
Wright,420,220
Crawford,419,245
Jackson,395,295
Calhoun,385,185
Marion,364,763
Grundy,360,194
Allamakee,359,120
Monona,356,99
Page,356,527
Fayette,351,300
Monroe,348,61
Henry,337,389
Winnebago,336,49
Hamilton,335,274
Harrison,325,116
Montgomery,324,216
Jefferson,312,313
Palo Alto,309,269
Cass,302,328
Appanoose,297,122
Union,297,224
Poweshiek,296,180
Butler,287,112
Ringgold,276,148
Madison,273,219
Cherokee,264,371
Taylor,261,28
Wayne,258,158
Howard,254,153
Worth,243,49
Keokuk,212,53
Lyon,210,104
Adams,209,62
Guthrie,206,151
Audubon,206,126
Emmet,204,183
Ida,202,71
Greene,194,138
Franklin,194,143
Kossuth,192,164
Humboldt,187,221
Chickasaw,186,146
Iowa,180,276
Hancock,176,190
Clarke,172,112
Fremont,167,85
Mitchell,157,197
Decatur,157,107
Van Buren,152,51
Lucas,137,77
Louisa,134,39
Floyd,121,235
Sac,117,143
Osceola,105,86
Davis,99,109
Pocahontas,70,82
Adair,50,113
.,0,0
