County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,38045,211206,10495,470552
Linn,14392,105439,7838,231818
Johnson,10921,79265,3730,172825
Scott,10510,68536,5483,154322
Story,7280,42519,2449,94015
Black Hawk,7196,58859,5606,130761
Dallas,6067,37336,2130,81464
Pottawattamie,5897,38396,4670,88304
Dubuque,4962,54433,1909,115544
Woodbury,4916,37883,4448,84723
Cerro Gordo,2846,21961,1586,48422
Des Moines,2293,15758,635,34478
Clinton,1896,14261,1320,31816
Warren,1860,15193,856,32936
Webster,1759,15316,1020,33640
Muscatine,1593,12045,4587,30398
Marshall,1585,11815,2592,27745
Jasper,1480,12236,948,26708
Tama,1375,7038,964,16432
Wapello,1259,10637,545,23191
Bremer,1200,11015,1129,24355
Lee,1106,10652,1615,24275
Boone,1053,10023,486,21538
Marion,1003,10861,3951,26828
Jefferson,873,6463,898,14700
Carroll,872,8689,1015,19425
Washington,845,6369,473,14066
Winneshiek,838,7085,933,15931
Buena Vista,786,6079,3236,16272
Mills,766,4807,135,10533
Page,760,6170,683,13814
Poweshiek,757,8233,350,17478
Clay,747,7482,195,15854
Sioux,720,9128,2525,21515
Mahaska,664,6705,450,14567
Cass,656,9519,352,20263
Emmet,640,4337,342,9764
Fayette,614,9439,867,20375
Plymouth,592,6406,2853,16294
Dickinson,591,6959,196,14710
Henry,584,6667,1690,15666
Wright,531,4318,1646,10791
Kossuth,520,5373,458,11777
Benton,502,6939,427,14821
Madison,481,6414,143,13507
Jones,479,5598,789,12523
Jackson,473,7436,219,15555
Crawford,456,5485,1534,12985
Union,453,4369,246,9353
Greene,436,3985,470,8951
Hardin,426,5647,1264,13039
O'Brien,411,4799,298,10315
Floyd,406,5821,952,13019
Delaware,402,4154,719,9395
Clarke,401,3760,1325,9258
Cedar,400,5742,249,12112
Guthrie,393,3964,228,8563
Buchanan,389,5718,284,12112
Hamilton,388,6379,396,13692
Grundy,383,4267,332,9259
Appanoose,359,3894,452,8688
Allamakee,357,5304,100,11069
Harrison,347,3118,216,6809
Iowa,343,5314,563,11556
Montgomery,335,2918,552,6751
Shelby,326,5352,99,11175
Winnebago,315,3573,470,7953
Monroe,305,2861,259,6315
Humboldt,302,3676,361,8156
Cherokee,295,4320,230,9173
Lucas,260,3096,369,6916
Out of State,251,5211,0,10400
Monona,244,1898,157,4181
Clayton,233,5796,628,12502
Wayne,225,2773,365,6236
Adair,223,2030,313,4535
Palo Alto,217,3100,136,6582
Decatur,210,2685,118,5790
Davis,210,3041,1646,7967
Franklin,204,3247,223,6931
Mitchell,183,4131,118,8580
Louisa,179,3050,1513,7768
Howard,169,1968,153,4242
Ringgold,150,1930,4,4065
Hancock,150,2836,690,6511
Lyon,140,2863,63,5929
Chickasaw,139,2649,316,5746
Butler,134,3718,144,7723
Calhoun,128,4011,157,8334
Sac,117,3173,42,6523
Adams,115,1586,6,3473
Ida,113,1474,478,3537
Taylor,110,2114,11,4372
Pocahontas,100,1786,140,3815
Fremont,100,1521,94,3236
Audubon,87,1914,101,4013
Keokuk,81,1508,100,3195
Worth,79,1636,0,3348
Van Buren,76,1386,99,2949
Osceola,50,1420,153,3043
