RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19155,35315,33259,2056
19153,235085,222923,12162
19057,14251,13445,806
19157,8407,7973,434
19193,39122,34733,4389
19129,5670,5400,270
19169,47705,45100,2605
19061,49334,47689,1645
19189,4299,3738,561
19033,20153,18597,1556
19069,4125,3773,352
19163,68563,63602,4961
19181,22701,21472,1229
19013,59116,53943,5173
19113,114365,106441,7924
19111,12156,10718,1438
19127,18481,16064,2417
19047,6697,5406,1291
19123,7171,6415,756
19103,84838,80252,4586
19099,16296,14799,1497
19101,6668,5983,685
19087,8069,6571,1498
19049,45049,42796,2253
19015,12898,12201,697
19145,6101,5612,489
19109,6201,5672,529
19167,11252,9635,1617
19045,18134,16779,1355
19023,6634,6230,404
19131,4048,3865,183
19187,15527,14233,1294
19031,8673,8027,646
19017,11643,10628,1015
19029,5872,5528,344
19125,13151,11069,2082
19089,3583,3146,437
19165,5325,5112,213
19173,2228,2162,66
19007,4452,4051,401
19115,4202,3202,1000
19197,5604,4716,888
19021,9125,6209,2916
19121,6663,6356,307
19067,6366,5890,476
19041,6580,6219,361
19191,9815,8964,851
19137,4198,3680,518
19085,5255,4907,348
19001,2813,2509,304
19027,9805,8824,981
19179,12772,10520,2252
19081,4116,3683,433
19183,9591,8928,663
19119,3379,3219,160
19009,2585,2437,148
19159,2002,1964,38
19019,8623,8042,581
19059,7937,7686,251
19083,7333,6445,888
19025,4506,4191,315
19091,3700,3355,345
19117,3041,2670,371
19107,3658,3373,285
19161,4028,3698,330
19141,5522,5031,491
19079,7166,6511,655
19139,18982,15251,3731
19065,8339,7796,543
19005,5163,4953,210
19037,5040,4379,661
19149,10078,8035,2043
19151,2695,2490,205
19135,2790,2488,302
19177,2217,2024,193
19105,9650,8670,980
19097,8125,7766,359
19043,6791,6234,557
19175,4776,4529,247
19075,5917,5465,452
19063,3666,3360,306
19093,2577,2185,392
19195,2937,2766,171
19147,3563,3350,213
19003,1483,1429,54
19073,3930,3434,496
19171,7746,6969,777
19039,3733,3047,686
19077,4843,4533,310
19011,11307,10440,867
19053,2395,2172,223
19095,7794,7151,643
19133,3584,3375,209
19055,7113,6294,819
19035,4747,4399,348
19071,2501,2307,194
19051,2498,2348,150
19143,2172,1974,198
19185,2036,1873,163
,43,37,6
