ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,26076,25152,924
19125,10958,7281,3677
19013,46865,42344,4521
19083,5274,4131,1143
19099,8584,8089,495
19147,2565,2483,82
19067,4894,4181,713
19109,4644,4268,376
19063,3346,3049,297
19153,130461,123721,6740
19127,9505,6996,2509
19081,2720,2168,552
19139,11772,7674,4098
19193,30421,27669,2752
19103,57388,54631,2757
19091,2897,2582,315
19101,5631,4877,754
19167,9108,6763,2345
19149,7591,4813,2778
19047,5474,4016,1458
19049,20823,19356,1467
19179,8075,7639,436
19163,52175,48250,3925
19171,5515,4575,940
19143,1159,1039,120
19055,3690,3091,599
19017,9316,8364,952
19065,8118,7309,809
19187,11051,10222,829
19021,7402,4242,3160
19035,3366,3196,170
19197,4897,3416,1481
19033,17545,16411,1134
19079,4636,4311,325
19155,31692,27399,4293
19037,2251,1953,298
19029,7820,7592,228
19117,2407,2101,306
19039,4245,2996,1249
19095,3712,3245,467
19087,5019,4442,577
19041,6234,6184,50
19113,73975,67269,6706
19031,4584,4383,201
19137,2510,2011,499
19145,4955,4328,627
19189,2874,2487,387
19015,7297,7018,279
19061,38484,37403,1081
19057,12454,11917,537
19133,1480,1375,105
19011,5161,4804,357
19043,5140,4569,571
19141,4112,3887,225
19111,8972,7820,1152
19045,10583,9540,1043
19165,3912,3874,38
19097,5611,5489,122
19175,3070,2956,114
19003,1289,1289,0
19019,4472,4282,190
19005,4335,4290,45
19181,10041,9567,474
19191,5494,4980,514
19183,4313,3933,380
19073,2417,2082,335
19027,6006,5238,768
19157,4953,4815,138
19129,3416,3331,85
19059,4872,4757,115
19135,2304,2105,199
19007,3483,3109,374
19075,3355,3155,200
19051,3797,2219,1578
19115,3834,2341,1493
,4255,4255,0
19131,3353,3353,0
19025,3090,2990,100
19085,2341,2154,187
19093,1544,1183,361
19121,4328,4250,78
19185,2263,1931,332
19009,1664,1568,96
19159,1487,1487,0
19123,4778,4529,249
19023,3011,2946,65
19071,1300,1228,72
19173,1773,1773,0
19069,2795,2620,175
19119,2121,2096,25
19089,1371,1284,87
19053,2161,2056,105
19077,2925,2749,176
19105,3982,3377,605
19161,2419,2419,0
19001,1835,1581,254
19151,1352,1222,130
19195,1200,1200,0
19177,1063,994,69
19107,1277,1177,100
