ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,278200,262589,15611
19059,8135,7846,289
19021,11328,7459,3869
19027,11292,10016,1276
19049,48622,45799,2823
19181,18601,17436,1165
19013,76007,69587,6420
19033,27943,25806,2137
19169,53656,50372,3284
19195,1770,1769,1
19083,7673,6322,1351
19189,4578,4065,513
19081,3800,3051,749
19155,51093,46082,5011
19139,19737,14439,5298
19009,2146,2045,101
19005,5916,5787,129
19099,15542,14322,1220
19103,96700,92024,4676
19017,14254,12761,1493
19065,11200,10240,960
19061,63937,61496,2441
19041,8727,8413,314
19063,5123,4700,423
19147,3568,3389,179
19193,50473,45399,5074
19003,1698,1676,22
19173,2302,2265,37
19175,5414,5058,356
19067,7834,6604,1230
19035,5169,4795,374
19123,8287,7698,589
19183,8086,7488,598
19179,13627,12568,1059
19073,5000,4475,525
19113,135161,125481,9680
19019,6901,6521,380
19101,8627,7624,1003
19127,17715,14456,3259
19109,6601,6067,534
19187,19150,17715,1435
19037,3207,2845,362
19011,8180,7692,488
19141,5817,5393,424
19045,19024,17298,1726
19131,4703,4507,196
19029,10818,10345,473
19135,3646,3268,378
19159,2169,2163,6
19163,89242,82424,6818
19125,16644,12460,4184
19149,10309,7314,2995
19015,12187,11570,617
19091,4462,4026,436
19151,2124,1942,182
19055,5628,4806,822
19031,6650,6349,301
19167,13111,10323,2788
19143,1744,1540,204
19161,3320,3244,76
19069,3834,3552,282
19133,2413,2182,231
19075,5253,4739,514
19171,9258,8273,985
19137,3990,3384,606
19111,14799,12579,2220
19197,6846,5020,1826
19047,7949,6341,1608
19077,4780,4453,327
19093,2163,1620,543
19051,5014,3314,1700
19025,4328,4104,224
19145,7844,6987,857
19057,19650,18852,798
19007,4828,4309,519
19157,9830,9343,487
19191,9527,8456,1071
19023,4031,3838,193
19087,9735,7607,2128
19053,3054,2916,138
19097,8571,8268,303
19001,2588,2244,344
19079,7502,7076,426
19039,5786,4399,1387
19095,6424,5761,663
19119,3152,3032,120
19043,6709,6041,668
19085,3612,3341,271
19117,3908,3466,442
19107,1723,1623,100
19165,6127,5932,195
19185,3357,2945,412
19115,4837,3254,1583
19121,7240,7047,193
19177,1579,1430,149
,5211,5210,1
19105,7354,6361,993
19129,6463,6279,184
19089,2473,2227,246
19071,1726,1628,98
