County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,40290,201822,9793,453564
Linn,17246,100222,7546,223945
Johnson,12121,76505,3573,168353
Scott,10554,66847,5184,150688
Story,7511,41376,2326,91705
Black Hawk,7319,57591,5389,128138
Pottawattamie,6333,36995,4615,85879
Dallas,6289,36045,1992,79008
Dubuque,4891,53697,1796,113878
Woodbury,4810,37175,4348,83093
Cerro Gordo,2776,21710,1491,47748
Des Moines,2271,15455,615,33831
Webster,2123,14437,971,32201
Warren,2056,14723,789,32121
Clinton,2005,13751,1237,30826
Jasper,1828,11653,827,25785
Muscatine,1713,11541,4452,29362
Marshall,1707,11364,2590,26964
Tama,1583,6700,956,15901
Wapello,1356,10365,501,22693
Bremer,1186,10818,1103,23914
Lee,1137,10448,1529,23818
Marion,1090,10625,3925,26407
Boone,1058,9797,453,21050
Jefferson,978,6252,861,14345
Washington,902,6172,464,13723
Henry,899,6263,1569,15046
Winneshiek,880,6821,891,15411
Carroll,875,8516,975,19038
Poweshiek,872,7991,274,17078
Sioux,810,8925,2500,21175
Page,794,6062,650,13587
Buena Vista,776,5926,3213,15931
Mills,758,4761,122,10421
Mahaska,746,6536,403,14266
Emmet,657,4292,337,9682
Cass,656,9445,331,20090
Fayette,641,9303,849,20116
Clay,632,7407,160,15564
Benton,609,6780,414,14596
Dickinson,608,6867,178,14526
Jones,592,5409,751,12227
Madison,518,6317,136,13336
Plymouth,492,6355,2827,16066
Guthrie,486,3835,210,8381
Kossuth,483,5283,381,11482
Hardin,461,5534,1232,12817
Union,460,4274,219,9145
Jackson,456,7351,198,15338
Floyd,452,5708,921,12807
Wright,445,4244,1572,10487
Delaware,441,4063,697,9234
Crawford,439,5404,1521,12792
Cedar,425,5683,246,12013
Greene,419,3954,448,8848
Allamakee,416,5178,88,10864
Hamilton,407,6306,381,13549
O'Brien,386,4748,284,10174
Appanoose,377,3837,441,8580
Montgomery,371,2851,546,6647
Clarke,359,3717,1311,9117
Shelby,351,5266,89,11019
Harrison,336,3118,208,6790
Iowa,332,5247,532,11378
Cherokee,331,4247,218,9049
Buchanan,330,5685,255,11957
Grundy,322,4178,301,8989
Humboldt,309,3634,344,8061
Clayton,299,5717,624,12402
Winnebago,295,3531,452,7834
Lucas,290,3044,365,6838
Monroe,289,2836,244,6235
Monona,271,1820,126,4024
Mitchell,269,4040,118,8485
Out of State,252,5284,0,10474
Wayne,244,2745,358,6189
Decatur,229,2659,115,5751
Palo Alto,223,3069,125,6516
Lyon,218,2780,51,5828
Louisa,207,2998,1507,7686
Hancock,204,2750,677,6380
Davis,202,3010,1637,7889
Franklin,182,3216,213,6837
Adair,168,2018,308,4448
Ringgold,160,1897,3,4008
Calhoun,158,3972,155,8283
Butler,153,3699,136,7694
Chickasaw,150,2626,305,5700
Howard,131,1945,139,4145
Sac,128,3157,39,6498
Taylor,126,2092,10,4340
Adams,121,1574,4,3452
Ida,118,1456,463,3490
Fremont,107,1504,89,3203
Van Buren,105,1352,90,2900
Keokuk,99,1481,100,3161
Audubon,98,1903,101,4002
Worth,92,1612,0,3313
Pocahontas,85,1781,140,3789
Osceola,81,1382,145,2990
