RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19113,91254,84473,6781
19067,5449,5139,310
19103,71823,67929,3894
19159,1791,1761,30
19153,178094,169209,8885
19081,3577,3246,331
19005,4559,4416,143
19045,14686,13652,1034
19125,11027,9182,1845
19049,34393,32670,1723
19169,35945,34014,1931
19175,4080,3926,154
19025,3773,3536,237
19069,3598,3319,279
19013,50118,45809,4309
19099,12336,11433,903
19187,12881,11931,950
19053,2123,1935,188
19033,16958,15820,1138
19091,3359,3053,306
19077,4065,3820,245
19163,57160,53341,3819
19157,7013,6713,300
19135,2445,2199,246
19139,15801,12591,3210
19173,2039,1995,44
19023,5750,5440,310
19083,6353,5624,729
19183,7926,7417,509
19109,5514,5097,417
19009,2335,2214,121
19003,1309,1278,31
19121,5329,5106,223
19057,12277,11641,636
19075,5042,4721,321
19117,2512,2200,312
19019,7556,7092,464
19063,3277,3035,242
19167,9841,8386,1455
19123,5943,5348,595
19171,6647,5945,702
19165,4873,4713,160
19181,17858,17039,819
19017,10092,9222,870
19155,27775,26013,1762
19055,6161,5451,710
19179,10812,8904,1908
19029,5199,4941,258
19043,6213,5730,483
19041,5887,5615,272
19193,34167,30369,3798
19061,43194,41978,1216
19147,3224,3070,154
19059,7200,7021,179
19071,2184,2036,148
19105,7585,6828,757
19195,2517,2384,133
19087,6212,5292,920
19015,10238,9750,488
19107,3141,2910,231
19111,9985,9046,939
19197,4875,4108,767
19011,9548,8807,741
19189,3820,3350,470
19085,4522,4230,292
19149,9101,7199,1902
19161,3617,3349,268
19151,2324,2151,173
19035,4290,3980,310
19191,8180,7498,682
19073,3404,2998,406
19031,7364,6836,528
19007,3919,3586,333
19185,1832,1697,135
19027,8656,7818,838
19065,7458,6994,464
19141,4930,4511,419
19127,13794,11603,2191
19021,7940,5353,2587
19101,5605,5048,557
19143,1927,1779,148
19039,3172,2563,609
19129,4659,4447,212
19133,3081,2945,136
19145,5199,4824,375
19079,6019,5467,552
19093,2305,1962,343
19131,3553,3438,115
19089,3052,2701,351
19115,3625,2720,905
19047,5890,4716,1174
19095,6703,6188,515
19037,4451,3896,555
19137,3702,3251,451
19097,6972,6719,253
19001,2422,2173,249
19119,3036,2910,126
19177,1942,1797,145
19051,2194,2092,102
,39,33,6
