ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19041,7921,7692,229
19153,235894,224612,11282
19139,17344,12577,4767
19193,43982,39341,4641
19049,42450,40179,2271
19127,14943,12290,2653
19155,45100,40339,4761
19083,7085,5790,1295
19173,2159,2142,17
19021,9691,6334,3357
19005,5477,5371,106
19191,8311,7353,958
19125,15157,11175,3982
19029,10144,9734,410
19027,9979,8920,1059
19187,16945,15760,1185
19033,24735,23025,1710
19163,78225,72429,5796
19151,1961,1817,144
19175,4767,4498,269
19103,87494,83538,3956
19169,47767,45176,2591
19013,67461,61613,5848
19059,7355,7135,220
19171,8717,7750,967
19113,120071,111913,8158
19057,16993,16317,676
19161,3232,3187,45
19019,6132,5831,301
19167,11995,9396,2599
19061,58087,56081,2006
19141,5254,4936,318
19197,6155,4488,1667
19149,9454,6575,2879
19179,11788,11113,675
19181,16556,15650,906
19015,10874,10352,522
19121,6758,6610,148
,5212,5211,1
19077,4376,4141,235
19039,5247,3896,1351
19067,6977,5985,992
19117,3590,3213,377
19055,5045,4313,732
19047,7219,5647,1572
19109,5963,5497,466
19045,16210,14769,1441
19101,7674,6752,922
19087,8657,6851,1806
19099,13951,12890,1061
19147,3305,3165,140
19143,1598,1440,158
19079,6973,6574,399
19123,7429,6944,485
19031,6198,5931,267
19195,1661,1660,1
19189,4155,3671,484
19091,4125,3754,371
19165,5573,5463,110
19075,4698,4331,367
19009,2028,1927,101
19035,4678,4434,244
19017,12467,11299,1168
19065,10450,9567,883
19073,4621,4139,482
19043,6493,5849,644
19007,4454,3993,461
19111,12765,10991,1774
19159,1995,1991,4
19145,7080,6327,753
19129,5181,5039,142
19051,4748,3098,1650
19105,6655,5824,831
19185,3186,2816,370
19177,1492,1391,101
19183,7173,6669,504
19069,3520,3290,230
19003,1611,1605,6
19011,7574,7132,442
19063,4783,4425,358
19133,2194,2011,183
19023,3929,3769,160
19093,2004,1524,480
19097,7822,7579,243
19037,3015,2689,326
19025,4222,4053,169
19095,6003,5416,587
19107,1646,1546,100
19085,3449,3215,234
19131,4331,4197,134
19001,2405,2079,326
19157,8992,8592,400
19115,4618,3101,1517
19081,3591,2885,706
19135,3278,3004,274
19137,3580,3016,564
19119,2974,2904,70
19089,2163,1999,164
19071,1657,1562,95
19053,2868,2750,118
