ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,530560,21511,248071,13301
19021,18091,622,6886,3599
19027,20844,523,9506,1132
19049,90748,3150,43226,2527
19181,35356,1189,16645,1043
19013,142848,4437,65985,6234
19033,52810,1859,24440,1996
19169,102879,4224,48290,2890
19195,3492,48,1723,1
19083,13793,233,6077,1347
19189,8463,233,3854,506
19155,96768,3902,43523,4900
19139,33246,1061,13530,5004
19009,4138,37,2000,101
19005,11457,290,5520,119
19099,29158,687,13757,1161
19103,187149,5640,88779,4318
19017,26165,775,12055,1283
19065,21250,479,9911,937
19061,123021,3031,58969,2249
19041,16855,474,8063,309
19147,6899,168,3272,160
19193,93196,4027,42313,4969
19003,3568,74,1647,10
19173,4528,83,2196,24
19175,10159,327,4804,319
19067,13849,267,6235,1095
19063,10172,551,4558,386
19035,9700,210,4595,293
19123,15682,472,7293,575
19183,15281,510,7103,554
19179,25631,793,11879,961
19073,9471,193,4347,512
19113,253648,7211,119362,8969
19019,12911,303,6136,343
19101,16051,580,7247,982
19127,31005,1003,13579,2970
19109,12543,329,5839,500
19187,36337,1392,16654,1358
19037,5970,109,2762,345
19011,15677,352,7426,465
19045,35743,1581,16240,1605
19081,6758,74,2983,718
19131,9046,149,4355,167
19029,21195,446,10040,438
19135,6801,155,3154,306
19059,15703,474,7484,260
19159,4271,78,2064,6
19163,170532,6339,78302,6360
19125,28545,773,11792,4043
19149,17316,398,6948,2980
19015,23262,548,11096,577
19141,10997,243,5194,358
19091,8521,220,3875,401
19151,3986,67,1878,159
19055,10059,206,4553,782
19031,12757,230,6135,290
19167,22892,517,9834,2699
19143,3202,37,1493,181
19161,6589,88,3215,52
19069,7246,139,3421,256
19133,4494,78,2107,218
19075,9750,331,4490,427
19171,17772,523,8088,984
19137,7257,306,3173,584
19111,26626,848,11781,1980
19197,11524,279,4768,1727
19047,13934,346,5987,1591
19077,9091,175,4309,279
19093,3750,85,1581,506
19051,8235,167,3174,1667
19025,8461,78,4082,187
19145,14725,613,6616,850
19057,37748,1722,17623,728
19007,9132,271,4143,483
19157,18844,460,9018,440
19191,17516,502,7992,1062
19023,7871,86,3793,177
19087,16805,490,7153,1957
19001,4764,114,2182,333
19079,14465,229,6833,411
19095,12101,201,5628,624
19119,6110,110,2955,79
19043,12763,186,5932,669
19117,7378,155,3356,422
19039,9930,253,4148,1365
19107,3320,30,1596,100
19165,11792,258,5673,147
19185,6417,162,2879,389
19115,8022,141,3175,1539
19053,6034,169,2823,123
19177,3024,76,1410,126
19121,14118,280,6800,162
19085,7049,243,3268,257
,10375,244,5211,1
19105,13399,247,6096,911
19097,16417,325,7923,263
19129,12228,489,5780,150
19089,4568,120,2138,189
19071,3363,65,1600,98
