County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21101,245316,13043,524377
Linn,7101,118482,8817,251623
Scott,6232,77600,6271,168936
Johnson,5605,88246,4274,185980
Black Hawk,4278,65390,6175,141447
Story,4165,47894,2817,101983
Pottawattamie,3798,43115,4866,95813
Woodbury,3787,41834,4927,91959
Dallas,3051,42798,2482,89758
Dubuque,2866,58630,2205,122136
Cerro Gordo,1791,24237,1960,52298
Des Moines,1646,17465,720,37341
Webster,1274,16538,1346,35958
Clinton,1272,16052,1594,35041
Warren,1126,16564,1020,35111
Muscatine,1009,13424,4968,32946
Marshall,1003,13368,2902,30525
Lee,834,11645,1948,26310
Bremer,761,11961,1263,25941
Wapello,750,11757,938,25323
Marion,711,11715,4039,28323
Jasper,701,13628,1151,28906
Buena Vista,638,6756,3589,17838
Page,598,6566,845,14606
Jefferson,561,7176,974,15881
Boone,555,10985,575,23047
Emmet,538,4543,384,10128
Tama,535,8052,984,17702
Winneshiek,513,7911,1058,17362
Sioux,500,9762,2676,22709
Mills,487,5741,150,12147
Washington,484,7046,550,15132
Carroll,481,9453,1116,20677
Clay,457,8021,294,16737
Henry,457,7104,1937,16654
Mahaska,450,7229,572,15527
Dickinson,445,7424,255,15547
Poweshiek,445,8961,431,18706
Fayette,444,9873,928,21132
Cass,429,10002,431,21091
Plymouth,363,6909,2971,17195
Benton,360,7377,464,15585
Kossuth,319,5801,495,12455
Crawford,315,5940,1592,13811
Union,313,4755,312,10042
Grundy,285,4469,407,9642
Allamakee,284,5497,118,11403
Montgomery,282,3147,579,7174
Jackson,278,7875,260,16274
Madison,272,6772,161,14049
Buchanan,266,6101,339,12805
Appanoose,259,4117,480,9065
Wright,252,4752,1718,11455
Floyd,247,6201,1068,13735
Out of State,246,5210,1,10374
O'Brien,238,5164,351,10926
Clarke,238,4115,1365,9847
Shelby,234,5637,141,11691
Harrison,233,3266,255,7033
Jones,227,6062,905,13308
Cedar,220,6104,281,12678
Hamilton,219,6786,409,14357
Winnebago,207,3831,505,8392
Cherokee,207,4561,285,9621
Humboldt,204,3861,395,8470
Hardin,203,6037,1345,13680
Iowa,198,5601,621,12042
Delaware,194,4532,776,9999
Greene,186,4331,508,9429
Clayton,175,5927,664,12738
Guthrie,172,4284,270,9030
Davis,163,3149,1667,8186
Wayne,163,2869,382,6391
Palo Alto,151,3252,152,6833
Decatur,150,2815,123,5999
Mitchell,148,4312,158,8950
Lucas,148,3331,404,7304
Louisa,147,3163,1533,7995
Monroe,142,3134,301,6743
Franklin,122,3416,254,7217
Adair,118,2172,333,4748
Lyon,107,2935,77,6065
Chickasaw,104,2755,343,5950
Howard,103,2128,186,4528
Sac,88,3211,51,6580
Butler,86,3792,177,7868
Calhoun,78,4081,182,8455
Ida,76,1575,502,3725
Hancock,74,2966,719,6726
Taylor,73,2186,21,4495
Van Buren,73,1407,119,3008
Adams,72,1642,10,3556
Monona,72,2103,212,4474
Ringgold,64,2059,6,4246
Pocahontas,64,1867,154,3956
Fremont,62,1594,98,3348
Worth,40,1714,1,3466
Keokuk,33,1585,100,3301
Osceola,31,1484,177,3175
Audubon,22,2000,101,4123
