ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,260988,247733,13255
19021,10457,6866,3591
19027,10634,9504,1130
19049,45703,43180,2523
19181,17681,16639,1042
19013,72158,65926,6232
19033,26408,24418,1990
19169,51109,48241,2868
19195,1724,1723,1
19083,7423,6076,1347
19189,4357,3851,506
19155,48390,43501,4889
19139,18514,13515,4999
19009,2101,2000,101
19005,5636,5517,119
19099,14895,13736,1159
19103,93046,88729,4317
19017,13313,12032,1281
19065,10840,9906,934
19061,61154,58909,2245
19041,8366,8059,307
19147,3429,3270,159
19193,47211,42250,4961
19003,1657,1647,10
19173,2220,2196,24
19175,5117,4798,319
19067,7319,6228,1091
19063,4942,4556,386
19035,4881,4589,292
19123,7841,7266,575
19183,7643,7089,554
19179,12821,11861,960
19073,4856,4344,512
19113,128176,119235,8941
19019,6474,6131,343
19101,8220,7239,981
19127,16497,13538,2959
19109,6330,5831,499
19187,17992,16637,1355
19037,3106,2761,345
19011,7882,7418,464
19045,17825,16221,1604
19081,3697,2979,718
19131,4512,4346,166
19029,10472,10035,437
19135,3459,3153,306
19059,7736,7478,258
19159,2069,2063,6
19163,84578,78237,6341
19125,15832,11789,4043
19149,9922,6943,2979
19015,11618,11041,577
19141,5552,5194,358
19091,4275,3874,401
19151,2030,1871,159
19055,5327,4546,781
19031,6417,6128,289
19167,12526,9831,2695
19143,1674,1493,181
19161,3267,3215,52
19069,3677,3421,256
19133,2325,2107,218
19075,4911,4488,423
19171,9050,8066,984
19137,3755,3172,583
19111,13739,11771,1968
19197,6488,4763,1725
19047,7574,5983,1591
19077,4585,4306,279
19093,2087,1581,506
19051,4840,3173,1667
19025,4269,4082,187
19145,7455,6607,848
19057,18325,17598,727
19007,4624,4141,483
19157,9451,9011,440
19191,9047,7985,1062
19023,3970,3793,177
19087,9098,7149,1949
19001,2514,2181,333
19079,7232,6821,411
19095,6251,5627,624
19119,3032,2953,79
19043,6601,5932,669
19117,3771,3354,417
19039,5510,4145,1365
19107,1694,1594,100
19165,5815,5669,146
19185,3265,2877,388
19115,4712,3174,1538
19053,2945,2822,123
19177,1535,1409,126
19121,6953,6791,162
19085,3525,3268,257
,5212,5211,1
19105,7001,6090,911
19097,8176,7913,263
19129,5925,5775,150
19089,2325,2136,189
19071,1697,1599,98
