Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15269636576787808,American Indian or Alaska Native
Asian,0.34265742578965516,Asian
Black,0.17387299480894578,Black
Native Hawaiian or Other Pacific Islander,0.3107826810990841,Native Hawaiian or Other Pacific Islander
Other Race,0.4769958967400084,Other Race
White,0.39654434293548976,White
